date,city,state,city_ibge_code,case_inc,death_inc
2020-09-10,Arapiraca,AL,2700300,21,2
2020-09-11,Arapiraca,AL,2700300,25,1
2020-09-12,Arapiraca,AL,2700300,57,0
2020-09-13,Arapiraca,AL,2700300,8,0
2020-09-14,Arapiraca,AL,2700300,17,1
2020-09-15,Arapiraca,AL,2700300,37,1
2020-09-16,Arapiraca,AL,2700300,23,0
2020-09-17,Arapiraca,AL,2700300,12,0
2020-09-18,Arapiraca,AL,2700300,54,1
2020-09-19,Arapiraca,AL,2700300,27,1
2020-09-20,Arapiraca,AL,2700300,34,1
2020-09-21,Arapiraca,AL,2700300,54,1
2020-09-22,Arapiraca,AL,2700300,16,0
2020-09-23,Arapiraca,AL,2700300,157,0
2020-09-24,Arapiraca,AL,2700300,12,0
2020-09-25,Arapiraca,AL,2700300,42,0
2020-09-26,Arapiraca,AL,2700300,30,1
2020-09-27,Arapiraca,AL,2700300,19,0
2020-09-28,Arapiraca,AL,2700300,20,0
2020-09-29,Arapiraca,AL,2700300,9,0
2020-09-30,Arapiraca,AL,2700300,31,0
2020-10-01,Arapiraca,AL,2700300,15,1
2020-10-02,Arapiraca,AL,2700300,14,2
2020-10-03,Arapiraca,AL,2700300,17,2
2020-10-04,Arapiraca,AL,2700300,22,2
2020-10-05,Arapiraca,AL,2700300,13,1
2020-10-06,Arapiraca,AL,2700300,21,1
2020-10-07,Arapiraca,AL,2700300,16,2
2020-10-08,Arapiraca,AL,2700300,15,1
2020-10-09,Arapiraca,AL,2700300,9,1
2020-10-10,Arapiraca,AL,2700300,27,1
2020-10-11,Arapiraca,AL,2700300,10,1
2020-10-12,Arapiraca,AL,2700300,10,0
2020-10-13,Arapiraca,AL,2700300,5,2
2020-10-14,Arapiraca,AL,2700300,15,1
2020-10-15,Arapiraca,AL,2700300,19,1
2020-10-16,Arapiraca,AL,2700300,13,1
2020-10-17,Arapiraca,AL,2700300,13,0
2020-10-18,Arapiraca,AL,2700300,11,0
2020-10-19,Arapiraca,AL,2700300,12,0
2020-10-20,Arapiraca,AL,2700300,21,0
2020-10-21,Arapiraca,AL,2700300,12,0
2020-10-22,Arapiraca,AL,2700300,9,1
2020-10-23,Arapiraca,AL,2700300,24,0
2020-10-24,Arapiraca,AL,2700300,45,0
2020-10-25,Arapiraca,AL,2700300,21,0
2020-10-26,Arapiraca,AL,2700300,12,0
2020-10-27,Arapiraca,AL,2700300,21,1
2020-10-28,Arapiraca,AL,2700300,23,1
2020-10-29,Arapiraca,AL,2700300,18,0
2020-10-30,Arapiraca,AL,2700300,5,0
2020-10-31,Arapiraca,AL,2700300,17,0
2020-11-01,Arapiraca,AL,2700300,11,1
2020-11-02,Arapiraca,AL,2700300,15,0
2020-11-03,Arapiraca,AL,2700300,16,0
2020-11-04,Arapiraca,AL,2700300,27,0
2020-11-05,Arapiraca,AL,2700300,47,0
2020-11-06,Arapiraca,AL,2700300,15,1
2020-11-07,Arapiraca,AL,2700300,28,1
2020-11-08,Arapiraca,AL,2700300,11,0
2020-11-09,Arapiraca,AL,2700300,26,0
2020-11-10,Arapiraca,AL,2700300,19,1
2020-11-11,Arapiraca,AL,2700300,9,0
2020-11-12,Arapiraca,AL,2700300,25,0
2020-11-13,Arapiraca,AL,2700300,18,1
2020-11-14,Arapiraca,AL,2700300,50,0
2020-11-15,Arapiraca,AL,2700300,49,0
2020-11-16,Arapiraca,AL,2700300,0,0
2020-11-17,Arapiraca,AL,2700300,0,0
2020-11-18,Arapiraca,AL,2700300,91,0
2020-09-10,Campo Alegre,AL,2701407,6,0
2020-09-11,Campo Alegre,AL,2701407,4,1
2020-09-12,Campo Alegre,AL,2701407,4,0
2020-09-13,Campo Alegre,AL,2701407,5,1
2020-09-14,Campo Alegre,AL,2701407,1,0
2020-09-15,Campo Alegre,AL,2701407,2,0
2020-09-16,Campo Alegre,AL,2701407,3,0
2020-09-17,Campo Alegre,AL,2701407,2,0
2020-09-18,Campo Alegre,AL,2701407,3,0
2020-09-19,Campo Alegre,AL,2701407,1,0
2020-09-20,Campo Alegre,AL,2701407,5,0
2020-09-21,Campo Alegre,AL,2701407,5,0
2020-09-22,Campo Alegre,AL,2701407,2,0
2020-09-23,Campo Alegre,AL,2701407,4,0
2020-09-24,Campo Alegre,AL,2701407,10,0
2020-09-25,Campo Alegre,AL,2701407,5,0
2020-09-26,Campo Alegre,AL,2701407,1,0
2020-09-27,Campo Alegre,AL,2701407,24,0
2020-09-28,Campo Alegre,AL,2701407,3,0
2020-09-29,Campo Alegre,AL,2701407,7,0
2020-09-30,Campo Alegre,AL,2701407,0,0
2020-10-01,Campo Alegre,AL,2701407,3,0
2020-10-02,Campo Alegre,AL,2701407,0,0
2020-10-03,Campo Alegre,AL,2701407,2,0
2020-10-04,Campo Alegre,AL,2701407,8,0
2020-10-05,Campo Alegre,AL,2701407,0,0
2020-10-06,Campo Alegre,AL,2701407,0,0
2020-10-07,Campo Alegre,AL,2701407,0,0
2020-10-08,Campo Alegre,AL,2701407,0,0
2020-10-09,Campo Alegre,AL,2701407,0,0
2020-10-10,Campo Alegre,AL,2701407,4,0
2020-10-11,Campo Alegre,AL,2701407,1,0
2020-10-12,Campo Alegre,AL,2701407,0,0
2020-10-13,Campo Alegre,AL,2701407,1,0
2020-10-14,Campo Alegre,AL,2701407,0,0
2020-10-15,Campo Alegre,AL,2701407,11,0
2020-10-16,Campo Alegre,AL,2701407,2,0
2020-10-17,Campo Alegre,AL,2701407,0,0
2020-10-18,Campo Alegre,AL,2701407,4,0
2020-10-19,Campo Alegre,AL,2701407,0,0
2020-10-20,Campo Alegre,AL,2701407,1,0
2020-10-21,Campo Alegre,AL,2701407,0,0
2020-10-22,Campo Alegre,AL,2701407,0,0
2020-10-23,Campo Alegre,AL,2701407,0,0
2020-10-24,Campo Alegre,AL,2701407,0,0
2020-10-25,Campo Alegre,AL,2701407,1,0
2020-10-26,Campo Alegre,AL,2701407,0,0
2020-10-27,Campo Alegre,AL,2701407,0,0
2020-10-28,Campo Alegre,AL,2701407,0,0
2020-10-29,Campo Alegre,AL,2701407,0,0
2020-10-30,Campo Alegre,AL,2701407,0,0
2020-10-31,Campo Alegre,AL,2701407,1,0
2020-11-01,Campo Alegre,AL,2701407,0,0
2020-11-02,Campo Alegre,AL,2701407,3,0
2020-11-03,Campo Alegre,AL,2701407,1,0
2020-11-04,Campo Alegre,AL,2701407,0,0
2020-11-05,Campo Alegre,AL,2701407,0,0
2020-11-06,Campo Alegre,AL,2701407,0,0
2020-11-07,Campo Alegre,AL,2701407,1,0
2020-11-08,Campo Alegre,AL,2701407,0,0
2020-11-09,Campo Alegre,AL,2701407,2,0
2020-11-10,Campo Alegre,AL,2701407,0,0
2020-11-11,Campo Alegre,AL,2701407,0,0
2020-11-12,Campo Alegre,AL,2701407,0,0
2020-11-13,Campo Alegre,AL,2701407,0,0
2020-11-14,Campo Alegre,AL,2701407,0,0
2020-11-15,Campo Alegre,AL,2701407,0,0
2020-11-16,Campo Alegre,AL,2701407,0,0
2020-11-17,Campo Alegre,AL,2701407,0,0
2020-11-18,Campo Alegre,AL,2701407,2,0
2020-09-10,Coruripe,AL,2702306,4,0
2020-09-11,Coruripe,AL,2702306,8,0
2020-09-12,Coruripe,AL,2702306,8,0
2020-09-13,Coruripe,AL,2702306,6,0
2020-09-14,Coruripe,AL,2702306,0,0
2020-09-15,Coruripe,AL,2702306,33,0
2020-09-16,Coruripe,AL,2702306,6,0
2020-09-17,Coruripe,AL,2702306,0,0
2020-09-18,Coruripe,AL,2702306,6,0
2020-09-19,Coruripe,AL,2702306,6,0
2020-09-20,Coruripe,AL,2702306,3,0
2020-09-21,Coruripe,AL,2702306,4,0
2020-09-22,Coruripe,AL,2702306,11,1
2020-09-23,Coruripe,AL,2702306,8,0
2020-09-24,Coruripe,AL,2702306,9,0
2020-09-25,Coruripe,AL,2702306,10,1
2020-09-26,Coruripe,AL,2702306,6,0
2020-09-27,Coruripe,AL,2702306,7,0
2020-09-28,Coruripe,AL,2702306,0,0
2020-09-29,Coruripe,AL,2702306,3,0
2020-09-30,Coruripe,AL,2702306,6,0
2020-10-01,Coruripe,AL,2702306,3,0
2020-10-02,Coruripe,AL,2702306,6,0
2020-10-03,Coruripe,AL,2702306,7,0
2020-10-04,Coruripe,AL,2702306,9,0
2020-10-05,Coruripe,AL,2702306,1,1
2020-10-06,Coruripe,AL,2702306,3,0
2020-10-07,Coruripe,AL,2702306,0,0
2020-10-08,Coruripe,AL,2702306,0,0
2020-10-09,Coruripe,AL,2702306,0,0
2020-10-10,Coruripe,AL,2702306,6,0
2020-10-11,Coruripe,AL,2702306,5,0
2020-10-12,Coruripe,AL,2702306,0,0
2020-10-13,Coruripe,AL,2702306,0,0
2020-10-14,Coruripe,AL,2702306,7,0
2020-10-15,Coruripe,AL,2702306,9,0
2020-10-16,Coruripe,AL,2702306,2,0
2020-10-17,Coruripe,AL,2702306,10,0
2020-10-18,Coruripe,AL,2702306,5,0
2020-10-19,Coruripe,AL,2702306,0,0
2020-10-20,Coruripe,AL,2702306,3,0
2020-10-21,Coruripe,AL,2702306,8,0
2020-10-22,Coruripe,AL,2702306,21,0
2020-10-23,Coruripe,AL,2702306,2,0
2020-10-24,Coruripe,AL,2702306,5,0
2020-10-25,Coruripe,AL,2702306,0,0
2020-10-26,Coruripe,AL,2702306,7,0
2020-10-27,Coruripe,AL,2702306,1,0
2020-10-28,Coruripe,AL,2702306,4,0
2020-10-29,Coruripe,AL,2702306,3,0
2020-10-30,Coruripe,AL,2702306,2,0
2020-10-31,Coruripe,AL,2702306,4,0
2020-11-01,Coruripe,AL,2702306,2,0
2020-11-02,Coruripe,AL,2702306,2,0
2020-11-03,Coruripe,AL,2702306,3,0
2020-11-04,Coruripe,AL,2702306,0,0
2020-11-05,Coruripe,AL,2702306,1,0
2020-11-06,Coruripe,AL,2702306,8,0
2020-11-07,Coruripe,AL,2702306,5,0
2020-11-08,Coruripe,AL,2702306,3,0
2020-11-09,Coruripe,AL,2702306,13,0
2020-11-10,Coruripe,AL,2702306,2,0
2020-11-11,Coruripe,AL,2702306,3,0
2020-11-12,Coruripe,AL,2702306,7,0
2020-11-13,Coruripe,AL,2702306,8,0
2020-11-14,Coruripe,AL,2702306,0,0
2020-11-15,Coruripe,AL,2702306,3,1
2020-11-16,Coruripe,AL,2702306,0,0
2020-11-17,Coruripe,AL,2702306,0,0
2020-11-18,Coruripe,AL,2702306,14,0
2020-09-10,Delmiro Gouveia,AL,2702405,10,0
2020-09-11,Delmiro Gouveia,AL,2702405,5,0
2020-09-12,Delmiro Gouveia,AL,2702405,15,0
2020-09-13,Delmiro Gouveia,AL,2702405,0,0
2020-09-14,Delmiro Gouveia,AL,2702405,0,0
2020-09-15,Delmiro Gouveia,AL,2702405,5,0
2020-09-16,Delmiro Gouveia,AL,2702405,12,1
2020-09-17,Delmiro Gouveia,AL,2702405,0,0
2020-09-18,Delmiro Gouveia,AL,2702405,2,1
2020-09-19,Delmiro Gouveia,AL,2702405,5,0
2020-09-20,Delmiro Gouveia,AL,2702405,0,0
2020-09-21,Delmiro Gouveia,AL,2702405,0,0
2020-09-22,Delmiro Gouveia,AL,2702405,4,0
