region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Santana do Ipanema,2020-10-12,,estimate,1,1,1,1,1,1,2,2,2
Santana do Ipanema,2020-10-13,,estimate,1,1,1,1,1,1,2,2,2
Santana do Ipanema,2020-10-14,,estimate,1,1,1,1,1,1,2,2,2
Santana do Ipanema,2020-10-09,,estimate,1,2,1,1,1,1,2,2,2
Santana do Ipanema,2020-10-10,,estimate,1,2,1,1,1,1,2,2,2
Santana do Ipanema,2020-10-11,,estimate,1,2,1,1,1,1,2,2,2
Santana do Ipanema,2020-10-15,,estimate,1,2,1,1,1,1,2,2,2
Santana do Ipanema,2020-10-16,,estimate,1,2,1,1,1,1,2,2,2
Penedo,2020-11-20,,forecast,1,19,234,0,1,1,2,3,15
Penedo,2020-11-21,,forecast,1,29,404,0,1,1,2,3,16
Penedo,2020-11-22,,forecast,1,45,722,0,0,1,2,3,18
Santana do Ipanema,2020-10-07,,estimate,2,2,1,1,1,1,2,2,3
Santana do Ipanema,2020-10-08,,estimate,2,2,1,1,1,1,2,2,3
Santana do Ipanema,2020-10-17,,estimate,2,2,1,1,1,1,2,2,3
Santana do Ipanema,2020-10-18,,estimate,2,2,1,1,1,1,2,2,3
Santana do Ipanema,2020-10-19,,estimate,2,2,1,1,1,1,2,2,3
Santana do Ipanema,2020-10-04,,estimate,2,2,1,1,1,2,2,2,3
Santana do Ipanema,2020-10-05,,estimate,2,2,1,1,1,2,2,2,3
Santana do Ipanema,2020-10-06,,estimate,2,2,1,1,1,2,2,2,3
Santana do Ipanema,2020-10-20,,estimate,2,2,1,1,1,2,2,2,3
Santana do Ipanema,2020-10-21,,estimate,2,2,1,1,1,2,2,2,3
Santana do Ipanema,2020-10-22,,estimate,2,2,1,1,1,2,2,2,3
Santana do Ipanema,2020-10-01,,estimate,2,2,1,1,2,2,2,2,3
Santana do Ipanema,2020-10-02,,estimate,2,2,1,1,2,2,2,2,3
Santana do Ipanema,2020-10-03,,estimate,2,2,1,1,2,2,2,2,3
Santana do Ipanema,2020-10-23,,estimate,2,2,1,1,2,2,2,2,3
Santana do Ipanema,2020-09-30,,estimate,2,2,1,1,2,2,2,3,3
Santana do Ipanema,2020-10-24,,estimate,2,2,1,1,2,2,2,3,4
