region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Santana do Ipanema,2020-10-23,,estimate,0,1,1,0,0,0,1,1,4
Marechal Deodoro,2020-10-19,,estimate,0,1,2,0,0,0,1,1,4
Marechal Deodoro,2020-10-26,,estimate,0,1,2,0,0,0,1,1,5
Marechal Deodoro,2020-10-12,,estimate,0,1,2,0,0,0,1,2,4
Marechal Deodoro,2020-11-02,,estimate,0,1,2,0,0,0,1,2,5
Penedo,2020-11-14,,estimate based on partial data,0,1,3,0,0,0,1,1,5
Penedo,2020-11-07,,estimate based on partial data,0,1,3,0,0,0,1,2,6
Penedo,2020-11-21,,forecast,0,2,10,0,0,0,1,1,7
Santana do Ipanema,2020-10-16,,estimate,1,1,1,0,0,0,1,1,4
Santana do Ipanema,2020-10-26,,estimate,1,1,1,0,0,0,1,2,4
Santana do Ipanema,2020-10-19,,estimate,1,1,2,0,0,0,1,2,4
Santana do Ipanema,2020-10-30,,estimate,1,1,2,0,0,0,1,2,4
Marechal Deodoro,2020-10-05,,estimate,1,1,2,0,0,0,1,2,5
Palmeira dos Índios,2020-10-26,,estimate,1,1,2,0,0,0,1,2,5
Palmeira dos Índios,2020-11-02,,estimate,1,1,2,0,0,0,1,2,5
Palmeira dos Índios,2020-11-09,,estimate based on partial data,1,1,2,0,0,0,1,2,5
Santana do Ipanema,2020-10-09,,estimate,1,1,2,0,0,0,1,2,5
Santana do Ipanema,2020-10-12,,estimate,1,1,2,0,0,0,1,2,5
Marechal Deodoro,2020-11-09,,estimate based on partial data,1,1,2,0,0,0,1,2,6
Marechal Deodoro,2020-10-18,,estimate,1,2,2,0,0,0,1,2,6
Marechal Deodoro,2020-10-25,,estimate,1,2,2,0,0,0,1,2,6
Palmeira dos Índios,2020-10-19,,estimate,1,2,2,0,0,1,1,2,6
Santana do Ipanema,2020-10-18,,estimate,1,2,2,0,0,1,1,2,6
Santana do Ipanema,2020-10-25,,estimate,1,2,2,0,0,1,1,2,6
Santana do Ipanema,2020-11-02,,estimate,1,2,2,0,0,1,1,2,6
Palmeira dos Índios,2020-10-12,,estimate,1,2,2,0,0,1,1,3,6
Santana do Ipanema,2020-10-20,,estimate,1,2,2,0,0,1,2,2,6
Santana do Ipanema,2020-10-05,,estimate,1,2,2,0,0,1,2,3,6
Santana do Ipanema,2020-10-15,,estimate,1,2,2,0,0,1,2,3,6
Santana do Ipanema,2020-10-22,,estimate,1,2,2,0,0,1,2,3,6
Santana do Ipanema,2020-10-21,,estimate,1,2,2,0,0,1,2,3,7
Santana do Ipanema,2020-10-27,,estimate,1,2,2,0,0,1,2,3,7
Santana do Ipanema,2020-11-06,,estimate based on partial data,1,2,2,0,0,1,2,3,7
Palmeira dos Índios,2020-11-16,,forecast,1,2,3,0,0,0,1,2,6
Marechal Deodoro,2020-10-11,,estimate,1,2,3,0,0,0,1,2,7
Marechal Deodoro,2020-11-01,,estimate,1,2,3,0,0,0,1,2,7
Penedo,2020-10-31,,estimate,1,2,3,0,0,0,1,2,7
Penedo,2020-10-24,,estimate,1,2,3,0,0,0,1,3,8
Marechal Deodoro,2020-09-28,,estimate,1,2,3,0,0,1,1,3,7
Santana do Ipanema,2020-10-02,,estimate,1,2,3,0,0,1,2,3,7
Santana do Ipanema,2020-10-11,,estimate,1,2,3,0,0,1,2,3,7
Santana do Ipanema,2020-10-13,,estimate,1,2,3,0,0,1,2,3,7
Santana do Ipanema,2020-10-17,,estimate,1,2,3,0,0,1,2,3,7
Santana do Ipanema,2020-10-24,,estimate,1,2,3,0,0,1,2,3,7
Santana do Ipanema,2020-10-29,,estimate,1,2,3,0,0,1,2,3,7
Marechal Deodoro,2020-10-04,,estimate,1,2,3,0,0,1,2,3,8
Marechal Deodoro,2020-11-08,,estimate based on partial data,1,2,3,0,0,1,2,3,8
Palmeira dos Índios,2020-09-28,,estimate,1,2,3,0,0,1,2,3,8
Palmeira dos Índios,2020-10-05,,estimate,1,2,3,0,0,1,2,3,8
Santana do Ipanema,2020-10-28,,estimate,1,2,3,0,0,1,2,3,8
Santana do Ipanema,2020-11-01,,estimate,1,2,3,0,0,1,2,3,8
Penedo,2020-10-17,,estimate,1,2,4,0,0,0,1,3,9
Penedo,2020-11-10,,estimate based on partial data,1,2,4,0,0,0,1,3,10
Penedo,2020-11-17,,forecast,1,2,8,0,0,0,1,2,8
Palmeira dos Índios,2020-11-12,,estimate based on partial data,1,3,3,0,0,1,2,3,9
Penedo,2020-11-03,,estimate,1,3,4,0,0,1,2,3,10
Penedo,2020-11-09,,estimate based on partial data,1,3,4,0,0,1,2,3,11
Penedo,2020-11-12,,estimate based on partial data,1,3,5,0,0,0,2,3,11
Penedo,2020-11-08,,estimate based on partial data,1,3,5,0,0,1,2,3,11
Penedo,2020-10-10,,estimate,1,3,5,0,0,1,2,4,10
Penedo,2020-10-27,,estimate,1,3,5,0,0,1,2,4,12
Penedo,2020-11-02,,estimate,1,3,5,0,0,1,2,4,12
Penedo,2020-11-05,,estimate,1,3,5,0,0,1,2,4,12
Penedo,2020-09-26,,estimate,1,3,5,0,0,1,2,4,13
Penedo,2020-10-03,,estimate,1,3,5,0,0,1,2,4,13
Penedo,2020-11-06,,estimate based on partial data,1,3,5,0,0,1,2,4,13
Penedo,2020-11-16,,forecast,1,3,6,0,0,0,1,3,11
Penedo,2020-11-13,,estimate based on partial data,1,3,6,0,0,0,2,3,12
Penedo,2020-11-01,,estimate,1,3,6,0,0,1,2,4,13
Penedo,2020-10-29,,estimate,1,3,6,0,0,1,2,4,14
Marechal Deodoro,2020-11-16,,forecast,1,3,8,0,0,1,2,4,12
Penedo,2020-11-15,,estimate based on partial data,1,3,9,0,0,0,1,3,10
Penedo,2020-11-20,,forecast,1,3,11,0,0,0,1,3,13
Penedo,2020-11-19,,forecast,1,3,12,0,0,0,1,3,11
Penedo,2020-10-20,,estimate,1,4,6,0,0,1,2,4,14
Penedo,2020-11-22,,forecast,1,4,24,0,0,0,1,3,13
Palmeira dos Índios,2020-11-05,,estimate,2,2,3,0,0,1,2,3,8
Santana do Ipanema,2020-10-14,,estimate,2,2,3,0,0,1,2,3,8
Palmeira dos Índios,2020-10-29,,estimate,2,3,3,0,0,1,2,4,9
Santana do Ipanema,2020-10-08,,estimate,2,3,3,0,1,1,2,4,9
Santana do Ipanema,2020-10-10,,estimate,2,3,3,0,1,1,3,4,10
Marechal Deodoro,2020-09-27,,estimate,2,3,4,0,0,1,2,4,11
Palmeira dos Índios,2020-10-15,,estimate,2,3,4,0,0,1,3,4,10
Palmeira dos Índios,2020-10-22,,estimate,2,3,4,0,0,1,3,4,10
Palmeira dos Índios,2020-11-03,,estimate,2,3,4,0,0,1,3,4,10
Palmeira dos Índios,2020-11-10,,estimate based on partial data,2,3,4,0,0,1,3,4,11
Marechal Deodoro,2020-10-13,,estimate,2,3,4,0,0,1,3,5,11
Santana do Ipanema,2020-10-31,,estimate,2,3,4,0,1,1,3,4,9
Coruripe,2020-11-09,,estimate based on partial data,2,3,4,0,1,1,3,4,10
Palmeira dos Índios,2020-10-27,,estimate,2,3,4,0,1,1,3,4,10
Santana do Ipanema,2020-09-25,,estimate,2,3,4,0,1,1,3,4,10
Santana do Ipanema,2020-10-06,,estimate,2,3,4,0,1,1,3,4,10
Santana do Ipanema,2020-11-03,,estimate,2,3,4,0,1,1,3,4,10
Santana do Ipanema,2020-11-09,,estimate based on partial data,2,3,4,0,1,1,3,4,10
Coruripe,2020-10-26,,estimate,2,3,4,0,1,1,3,4,11
Coruripe,2020-11-02,,estimate,2,3,4,0,1,1,3,5,10
Santana do Ipanema,2020-09-28,,estimate,2,3,4,0,1,1,3,5,10
Coruripe,2020-10-19,,estimate,2,3,4,0,1,1,3,5,11
Palmeira dos Índios,2020-10-20,,estimate,2,3,4,0,1,1,3,5,11
Coruripe,2020-10-05,,estimate,2,3,4,0,1,2,3,4,11
Santana do Ipanema,2020-10-04,,estimate,2,3,4,0,1,2,3,5,10
Santana do Ipanema,2020-10-07,,estimate,2,3,4,0,1,2,3,5,10
