region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Maceió,2020-09-30,,estimate,-0.098,-0.098,0.029,-0.146,-0.116,-0.104,-0.09,-0.078,-0.051
Maceió,2020-10-01,,estimate,-0.097,-0.097,0.028,-0.144,-0.115,-0.103,-0.09,-0.079,-0.052
Maceió,2020-09-29,,estimate,-0.097,-0.097,0.029,-0.146,-0.116,-0.104,-0.089,-0.078,-0.05
Maceió,2020-09-28,,estimate,-0.095,-0.095,0.03,-0.146,-0.115,-0.102,-0.088,-0.075,-0.047
Maceió,2020-10-02,,estimate,-0.094,-0.095,0.027,-0.14,-0.112,-0.101,-0.088,-0.077,-0.052
Maceió,2020-09-27,,estimate,-0.093,-0.092,0.03,-0.143,-0.112,-0.099,-0.084,-0.071,-0.044
Maceió,2020-10-03,,estimate,-0.091,-0.092,0.027,-0.136,-0.108,-0.098,-0.085,-0.074,-0.05
Maceió,2020-10-04,,estimate,-0.087,-0.088,0.026,-0.132,-0.104,-0.093,-0.08,-0.07,-0.046
Maceió,2020-09-26,,estimate,-0.087,-0.088,0.031,-0.139,-0.108,-0.095,-0.08,-0.067,-0.04
Maceió,2020-09-25,,estimate,-0.082,-0.083,0.031,-0.133,-0.103,-0.09,-0.075,-0.061,-0.035
Maceió,2020-10-05,,estimate,-0.082,-0.082,0.026,-0.128,-0.099,-0.088,-0.074,-0.065,-0.042
Maceió,2020-09-24,,estimate,-0.076,-0.076,0.031,-0.127,-0.097,-0.083,-0.067,-0.054,-0.028
Maceió,2020-10-06,,estimate,-0.075,-0.076,0.026,-0.12,-0.092,-0.081,-0.069,-0.059,-0.034
Maceió,2020-10-07,,estimate,-0.068,-0.069,0.026,-0.114,-0.085,-0.074,-0.061,-0.052,-0.027
Maceió,2020-09-23,,estimate,-0.068,-0.069,0.031,-0.12,-0.089,-0.076,-0.06,-0.047,-0.022
Arapiraca,2020-09-25,,estimate,-0.065,-0.066,0.026,-0.109,-0.083,-0.072,-0.059,-0.047,-0.023
Santana do Ipanema,2020-09-27,,estimate,-0.065,-0.066,0.026,-0.109,-0.082,-0.07,-0.058,-0.048,-0.026
Arapiraca,2020-09-26,,estimate,-0.065,-0.065,0.025,-0.108,-0.083,-0.072,-0.058,-0.048,-0.024
Santana do Ipanema,2020-09-26,,estimate,-0.064,-0.066,0.026,-0.109,-0.081,-0.07,-0.058,-0.049,-0.027
Santana do Ipanema,2020-09-28,,estimate,-0.064,-0.065,0.026,-0.108,-0.082,-0.07,-0.058,-0.048,-0.026
Santana do Ipanema,2020-09-29,,estimate,-0.064,-0.065,0.027,-0.108,-0.082,-0.07,-0.058,-0.047,-0.024
Arapiraca,2020-09-24,,estimate,-0.064,-0.064,0.026,-0.108,-0.082,-0.071,-0.057,-0.045,-0.022
Santana do Ipanema,2020-09-25,,estimate,-0.063,-0.065,0.025,-0.109,-0.08,-0.069,-0.058,-0.049,-0.027
Arapiraca,2020-09-27,,estimate,-0.063,-0.064,0.025,-0.106,-0.08,-0.07,-0.057,-0.047,-0.024
Santana do Ipanema,2020-09-30,,estimate,-0.063,-0.064,0.027,-0.108,-0.081,-0.069,-0.056,-0.045,-0.022
Santana do Ipanema,2020-09-24,,estimate,-0.062,-0.064,0.025,-0.109,-0.078,-0.068,-0.057,-0.048,-0.027
Santana do Ipanema,2020-10-01,,estimate,-0.062,-0.062,0.028,-0.108,-0.08,-0.068,-0.055,-0.044,-0.02
Arapiraca,2020-09-23,,estimate,-0.061,-0.062,0.026,-0.106,-0.08,-0.068,-0.055,-0.043,-0.02
Maceió,2020-10-08,,estimate,-0.061,-0.06,0.027,-0.105,-0.077,-0.067,-0.054,-0.044,-0.017
Santana do Ipanema,2020-09-23,,estimate,-0.06,-0.063,0.025,-0.106,-0.077,-0.067,-0.056,-0.047,-0.027
Arapiraca,2020-09-28,,estimate,-0.06,-0.061,0.024,-0.102,-0.076,-0.066,-0.054,-0.045,-0.024
Santana do Ipanema,2020-10-02,,estimate,-0.06,-0.061,0.028,-0.108,-0.079,-0.067,-0.053,-0.042,-0.018
Maceió,2020-09-22,,estimate,-0.06,-0.061,0.03,-0.111,-0.08,-0.068,-0.052,-0.04,-0.013
Santana do Ipanema,2020-09-22,,estimate,-0.059,-0.061,0.024,-0.103,-0.074,-0.065,-0.054,-0.046,-0.026
Santana do Ipanema,2020-10-03,,estimate,-0.058,-0.058,0.028,-0.106,-0.077,-0.065,-0.051,-0.04,-0.015
Arapiraca,2020-09-22,,estimate,-0.056,-0.058,0.026,-0.102,-0.076,-0.063,-0.05,-0.039,-0.017
Arapiraca,2020-09-29,,estimate,-0.056,-0.057,0.023,-0.096,-0.071,-0.061,-0.051,-0.042,-0.022
Santana do Ipanema,2020-10-04,,estimate,-0.056,-0.056,0.029,-0.104,-0.074,-0.063,-0.048,-0.038,-0.013
Santana do Ipanema,2020-10-05,,estimate,-0.053,-0.053,0.029,-0.101,-0.071,-0.06,-0.046,-0.035,-0.009
Marechal Deodoro,2020-09-29,,estimate,-0.052,-0.055,0.04,-0.123,-0.083,-0.064,-0.042,-0.025,0.004
Maceió,2020-10-09,,estimate,-0.052,-0.051,0.028,-0.096,-0.068,-0.058,-0.046,-0.035,-0.006
Marechal Deodoro,2020-09-28,,estimate,-0.051,-0.056,0.041,-0.127,-0.084,-0.064,-0.041,-0.024,0.005
Marechal Deodoro,2020-09-30,,estimate,-0.051,-0.054,0.038,-0.118,-0.08,-0.062,-0.042,-0.026,0.003
Arapiraca,2020-09-30,,estimate,-0.051,-0.052,0.021,-0.09,-0.066,-0.056,-0.046,-0.038,-0.019
Marechal Deodoro,2020-09-27,,estimate,-0.05,-0.054,0.042,-0.13,-0.083,-0.062,-0.038,-0.022,0.006
Marechal Deodoro,2020-10-01,,estimate,-0.05,-0.052,0.036,-0.114,-0.077,-0.06,-0.04,-0.025,0.004
Santana do Ipanema,2020-10-06,,estimate,-0.049,-0.05,0.029,-0.098,-0.068,-0.057,-0.042,-0.031,-0.005
Marechal Deodoro,2020-09-26,,estimate,-0.048,-0.052,0.043,-0.129,-0.081,-0.06,-0.035,-0.019,0.008
Marechal Deodoro,2020-10-02,,estimate,-0.047,-0.049,0.034,-0.107,-0.072,-0.057,-0.039,-0.024,0.004
Santana do Ipanema,2020-10-07,,estimate,-0.046,-0.047,0.029,-0.096,-0.065,-0.054,-0.039,-0.029,-0.003
Arapiraca,2020-10-01,,estimate,-0.045,-0.046,0.02,-0.082,-0.059,-0.05,-0.041,-0.032,-0.015
Marechal Deodoro,2020-10-03,,estimate,-0.044,-0.045,0.033,-0.102,-0.066,-0.052,-0.036,-0.021,0.005
Marechal Deodoro,2020-09-25,,estimate,-0.043,-0.049,0.043,-0.127,-0.077,-0.056,-0.032,-0.016,0.009
Maceió,2020-10-10,,estimate,-0.043,-0.042,0.029,-0.086,-0.06,-0.049,-0.036,-0.026,0.006
Santana do Ipanema,2020-10-08,,estimate,-0.042,-0.043,0.029,-0.091,-0.062,-0.049,-0.035,-0.025,0.002
Marechal Deodoro,2020-10-04,,estimate,-0.04,-0.04,0.032,-0.095,-0.06,-0.048,-0.031,-0.018,0.007
Arapiraca,2020-10-02,,estimate,-0.039,-0.039,0.02,-0.074,-0.051,-0.043,-0.034,-0.026,-0.009
Marechal Deodoro,2020-09-24,,estimate,-0.038,-0.044,0.042,-0.121,-0.072,-0.051,-0.027,-0.012,0.012
Santana do Ipanema,2020-10-09,,estimate,-0.038,-0.039,0.029,-0.086,-0.057,-0.045,-0.031,-0.021,0.006
Marechal Deodoro,2020-10-05,,estimate,-0.035,-0.035,0.031,-0.088,-0.055,-0.043,-0.026,-0.013,0.011
Maceió,2020-10-11,,estimate,-0.034,-0.032,0.029,-0.076,-0.051,-0.04,-0.026,-0.016,0.017
Santana do Ipanema,2020-10-10,,estimate,-0.033,-0.034,0.029,-0.081,-0.052,-0.04,-0.027,-0.016,0.011
Marechal Deodoro,2020-09-23,,estimate,-0.032,-0.039,0.041,-0.115,-0.065,-0.044,-0.022,-0.008,0.015
Arapiraca,2020-10-03,,estimate,-0.032,-0.032,0.02,-0.065,-0.044,-0.037,-0.028,-0.02,-0.001
Marechal Deodoro,2020-10-06,,estimate,-0.03,-0.03,0.032,-0.081,-0.05,-0.038,-0.021,-0.008,0.019
Penedo,2020-11-14,,estimate based on partial data,-0.029,-0.031,0.09,-0.173,-0.072,-0.042,-0.016,0.001,0.104
Penedo,2020-11-15,,estimate based on partial data,-0.029,-0.031,0.094,-0.177,-0.074,-0.042,-0.016,0.002,0.109
Penedo,2020-11-16,,forecast,-0.029,-0.031,0.094,-0.177,-0.074,-0.042,-0.016,0.002,0.109
Penedo,2020-11-17,,forecast,-0.029,-0.031,0.094,-0.177,-0.074,-0.042,-0.016,0.002,0.109
Penedo,2020-11-18,,forecast,-0.029,-0.031,0.094,-0.177,-0.074,-0.042,-0.016,0.002,0.109
Penedo,2020-11-19,,forecast,-0.029,-0.031,0.094,-0.177,-0.074,-0.042,-0.016,0.002,0.109
Penedo,2020-11-20,,forecast,-0.029,-0.031,0.094,-0.177,-0.074,-0.042,-0.016,0.002,0.109
Penedo,2020-11-21,,forecast,-0.029,-0.031,0.094,-0.177,-0.074,-0.042,-0.016,0.002,0.109
Penedo,2020-11-22,,forecast,-0.029,-0.031,0.094,-0.177,-0.074,-0.042,-0.016,0.002,0.109
Penedo,2020-11-08,,estimate based on partial data,-0.028,-0.032,0.07,-0.143,-0.064,-0.04,-0.017,-0.002,0.07
Penedo,2020-11-09,,estimate based on partial data,-0.028,-0.032,0.073,-0.149,-0.065,-0.04,-0.017,-0.002,0.076
