region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Maceió,2020-09-30,,estimate,0.66,0.67,0.09,0.51,0.6,0.64,0.69,0.73,0.82
Maceió,2020-09-29,,estimate,0.66,0.67,0.09,0.51,0.6,0.64,0.69,0.73,0.83
Maceió,2020-10-01,,estimate,0.67,0.67,0.09,0.52,0.61,0.65,0.69,0.73,0.82
Maceió,2020-09-28,,estimate,0.67,0.67,0.1,0.51,0.61,0.65,0.7,0.74,0.83
Maceió,2020-10-02,,estimate,0.68,0.67,0.09,0.53,0.62,0.65,0.7,0.73,0.82
Maceió,2020-10-03,,estimate,0.68,0.68,0.09,0.54,0.63,0.66,0.71,0.74,0.83
Maceió,2020-09-27,,estimate,0.68,0.68,0.1,0.52,0.62,0.66,0.71,0.75,0.85
Maceió,2020-10-04,,estimate,0.7,0.7,0.09,0.55,0.64,0.68,0.72,0.76,0.84
Maceió,2020-09-26,,estimate,0.7,0.7,0.1,0.53,0.63,0.67,0.72,0.77,0.86
Maceió,2020-09-25,,estimate,0.71,0.71,0.1,0.55,0.65,0.69,0.74,0.79,0.88
Maceió,2020-10-05,,estimate,0.72,0.72,0.09,0.57,0.66,0.69,0.74,0.77,0.85
Maceió,2020-09-24,,estimate,0.73,0.74,0.1,0.57,0.67,0.71,0.76,0.81,0.9
Maceió,2020-10-06,,estimate,0.74,0.74,0.09,0.59,0.68,0.72,0.76,0.79,0.88
Maceió,2020-10-07,,estimate,0.76,0.76,0.09,0.61,0.71,0.74,0.78,0.82,0.9
Maceió,2020-09-23,,estimate,0.76,0.76,0.1,0.59,0.69,0.74,0.79,0.83,0.92
Arapiraca,2020-09-26,,estimate,0.77,0.77,0.09,0.63,0.71,0.75,0.79,0.83,0.91
Arapiraca,2020-09-25,,estimate,0.77,0.77,0.09,0.63,0.71,0.75,0.79,0.83,0.92
Santana do Ipanema,2020-09-27,,estimate,0.77,0.77,0.09,0.63,0.72,0.75,0.79,0.83,0.91
Santana do Ipanema,2020-09-25,,estimate,0.78,0.77,0.08,0.63,0.72,0.76,0.8,0.83,0.9
Santana do Ipanema,2020-09-28,,estimate,0.78,0.77,0.09,0.63,0.72,0.75,0.79,0.83,0.91
Santana do Ipanema,2020-09-26,,estimate,0.78,0.77,0.09,0.63,0.72,0.76,0.8,0.83,0.9
Santana do Ipanema,2020-09-29,,estimate,0.78,0.77,0.09,0.63,0.72,0.76,0.8,0.83,0.91
Santana do Ipanema,2020-09-24,,estimate,0.78,0.78,0.08,0.63,0.73,0.76,0.8,0.83,0.9
Arapiraca,2020-09-27,,estimate,0.78,0.78,0.08,0.64,0.72,0.76,0.8,0.83,0.91
Arapiraca,2020-09-24,,estimate,0.78,0.78,0.09,0.63,0.71,0.75,0.8,0.84,0.92
Santana do Ipanema,2020-09-30,,estimate,0.78,0.78,0.09,0.63,0.72,0.76,0.8,0.84,0.92
Santana do Ipanema,2020-10-01,,estimate,0.78,0.78,0.09,0.63,0.72,0.76,0.81,0.84,0.93
Santana do Ipanema,2020-09-23,,estimate,0.79,0.78,0.08,0.64,0.73,0.77,0.8,0.83,0.9
Arapiraca,2020-09-23,,estimate,0.79,0.78,0.09,0.64,0.72,0.76,0.81,0.85,0.93
