region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases
Arapiraca,67 (15 -- 526),67,166,563,15,36,54,86,134,526,New confirmed cases by infection date,Unsure
Maceió,46 (4 -- 402),46,138,1127,4,20,33,61,107,402,New confirmed cases by infection date,Unsure
Santana do Ipanema,16 (2 -- 125),16,39,128,2,7,12,21,35,125,New confirmed cases by infection date,Likely increasing
Marechal Deodoro,14 (2 -- 300),14,95,583,2,6,10,20,40,300,New confirmed cases by infection date,Unsure
Coruripe,4 (1 -- 16),4,6,10,1,2,3,5,6,16,New confirmed cases by infection date,Unsure
Palmeira dos Índios,3 (1 -- 16),3,5,12,1,2,2,4,5,16,New confirmed cases by infection date,Unsure
Santana do Ipanema,1.4 (0.7 -- 2.5),1.4,1.5,0.6,0.7,1.1,1.3,1.5,1.7,2.5,Effective reproduction no.,Likely increasing
Arapiraca,1.3 (0.7 -- 2.8),1.3,1.5,0.8,0.7,1.1,1.2,1.4,1.7,2.8,Effective reproduction no.,Unsure
Marechal Deodoro,1.3 (0.6 -- 3.4),1.3,1.6,1.1,0.6,1,1.2,1.5,1.8,3.4,Effective reproduction no.,Unsure
Coruripe,1 (0.7 -- 1.4),1,1,0.2,0.7,0.9,1,1,1.1,1.4,Effective reproduction no.,Unsure
Maceió,1 (0.4 -- 2),1,1.1,0.6,0.4,0.7,0.9,1.1,1.3,2,Effective reproduction no.,Unsure
Palmeira dos Índios,1 (0.7 -- 1.5),1,1,0.3,0.7,0.9,0.9,1,1.1,1.5,Effective reproduction no.,Unsure
Penedo,1 (0 -- 9),1,4,26,0,0,1,2,3,9,New confirmed cases by infection date,Unsure
Penedo,0.9 (0.4 -- 1.4),0.9,0.9,0.3,0.4,0.7,0.9,0.9,1,1.4,Effective reproduction no.,Unsure
