region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Lagoa da Canoa,2020-10-02,,estimate,-0.139,-0.137,0.043,-0.204,-0.165,-0.149,-0.128,-0.112,-0.062
Lagoa da Canoa,2020-10-01,,estimate,-0.139,-0.137,0.043,-0.204,-0.165,-0.149,-0.128,-0.111,-0.063
Lagoa da Canoa,2020-10-03,,estimate,-0.139,-0.137,0.044,-0.205,-0.164,-0.149,-0.128,-0.11,-0.061
Lagoa da Canoa,2020-10-04,,estimate,-0.138,-0.135,0.045,-0.205,-0.163,-0.148,-0.126,-0.106,-0.06
Lagoa da Canoa,2020-09-30,,estimate,-0.137,-0.136,0.043,-0.203,-0.165,-0.147,-0.127,-0.109,-0.063
Lagoa da Canoa,2020-10-05,,estimate,-0.136,-0.132,0.046,-0.204,-0.161,-0.146,-0.124,-0.103,-0.056
Lagoa da Canoa,2020-09-29,,estimate,-0.134,-0.132,0.044,-0.202,-0.162,-0.143,-0.124,-0.105,-0.06
Lagoa da Canoa,2020-10-06,,estimate,-0.132,-0.129,0.048,-0.202,-0.159,-0.142,-0.12,-0.1,-0.048
Lagoa da Canoa,2020-09-28,,estimate,-0.129,-0.128,0.045,-0.2,-0.159,-0.139,-0.118,-0.098,-0.055
Lagoa da Canoa,2020-10-07,,estimate,-0.128,-0.125,0.049,-0.2,-0.157,-0.139,-0.116,-0.094,-0.039
Lagoa da Canoa,2020-10-08,,estimate,-0.123,-0.12,0.051,-0.196,-0.154,-0.135,-0.112,-0.089,-0.032
Lagoa da Canoa,2020-09-27,,estimate,-0.122,-0.121,0.046,-0.196,-0.154,-0.133,-0.111,-0.091,-0.046
Lagoa da Canoa,2020-10-09,,estimate,-0.119,-0.115,0.052,-0.194,-0.151,-0.131,-0.107,-0.084,-0.025
Lagoa da Canoa,2020-10-10,,estimate,-0.114,-0.11,0.053,-0.19,-0.146,-0.126,-0.101,-0.078,-0.019
Lagoa da Canoa,2020-09-26,,estimate,-0.113,-0.113,0.048,-0.191,-0.145,-0.124,-0.102,-0.083,-0.037
Lagoa da Canoa,2020-10-11,,estimate,-0.109,-0.105,0.054,-0.184,-0.141,-0.121,-0.096,-0.073,-0.011
Lagoa da Canoa,2020-10-12,,estimate,-0.103,-0.1,0.055,-0.18,-0.136,-0.116,-0.09,-0.068,-0.005
Lagoa da Canoa,2020-09-25,,estimate,-0.102,-0.103,0.049,-0.186,-0.136,-0.114,-0.091,-0.071,-0.023
Lagoa da Canoa,2020-10-13,,estimate,-0.097,-0.094,0.056,-0.179,-0.13,-0.111,-0.084,-0.061,0
Lagoa da Canoa,2020-10-14,,estimate,-0.092,-0.088,0.057,-0.174,-0.125,-0.105,-0.079,-0.056,0.007
Lagoa da Canoa,2020-09-24,,estimate,-0.089,-0.09,0.051,-0.175,-0.125,-0.102,-0.077,-0.058,-0.008
Lagoa da Canoa,2020-10-15,,estimate,-0.086,-0.082,0.057,-0.171,-0.118,-0.099,-0.072,-0.047,0.013
Maceió,2020-09-30,,estimate,-0.083,-0.083,0.034,-0.139,-0.106,-0.092,-0.075,-0.06,-0.027
Maceió,2020-10-01,,estimate,-0.083,-0.083,0.034,-0.138,-0.106,-0.092,-0.075,-0.06,-0.026
Maceió,2020-09-29,,estimate,-0.082,-0.083,0.034,-0.138,-0.106,-0.091,-0.074,-0.058,-0.027
Maceió,2020-10-02,,estimate,-0.082,-0.082,0.033,-0.137,-0.104,-0.091,-0.074,-0.059,-0.025
Maceió,2020-09-28,,estimate,-0.08,-0.081,0.034,-0.136,-0.103,-0.089,-0.072,-0.056,-0.025
Maceió,2020-10-03,,estimate,-0.08,-0.08,0.033,-0.134,-0.1,-0.088,-0.072,-0.058,-0.024
Lagoa da Canoa,2020-10-16,,estimate,-0.08,-0.076,0.058,-0.165,-0.114,-0.093,-0.066,-0.04,0.017
Maceió,2020-09-27,,estimate,-0.077,-0.078,0.033,-0.136,-0.1,-0.085,-0.068,-0.053,-0.024
