region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Lagoa da Canoa,2020-10-02,,estimate,0.53,0.54,0.13,0.34,0.46,0.5,0.57,0.62,0.78
Lagoa da Canoa,2020-10-01,,estimate,0.53,0.54,0.13,0.35,0.46,0.5,0.57,0.62,0.77
Lagoa da Canoa,2020-10-03,,estimate,0.54,0.55,0.13,0.34,0.46,0.5,0.57,0.63,0.79
Lagoa da Canoa,2020-09-30,,estimate,0.54,0.55,0.13,0.35,0.46,0.51,0.57,0.63,0.78
Lagoa da Canoa,2020-10-04,,estimate,0.54,0.55,0.14,0.35,0.46,0.51,0.57,0.64,0.79
Lagoa da Canoa,2020-10-05,,estimate,0.54,0.56,0.14,0.35,0.47,0.51,0.58,0.65,0.8
Lagoa da Canoa,2020-09-29,,estimate,0.55,0.56,0.14,0.35,0.47,0.52,0.58,0.64,0.79
Lagoa da Canoa,2020-10-06,,estimate,0.56,0.57,0.15,0.35,0.47,0.52,0.59,0.65,0.83
Lagoa da Canoa,2020-09-28,,estimate,0.57,0.57,0.14,0.36,0.47,0.54,0.6,0.66,0.8
Lagoa da Canoa,2020-10-07,,estimate,0.57,0.58,0.15,0.36,0.48,0.53,0.61,0.68,0.86
Lagoa da Canoa,2020-10-08,,estimate,0.58,0.6,0.16,0.37,0.49,0.55,0.62,0.69,0.89
Lagoa da Canoa,2020-09-27,,estimate,0.59,0.59,0.14,0.37,0.49,0.55,0.62,0.68,0.84
Lagoa da Canoa,2020-10-09,,estimate,0.6,0.61,0.17,0.38,0.5,0.56,0.63,0.71,0.91
Lagoa da Canoa,2020-10-10,,estimate,0.61,0.63,0.17,0.39,0.51,0.58,0.65,0.73,0.93
Lagoa da Canoa,2020-09-26,,estimate,0.62,0.62,0.15,0.38,0.52,0.58,0.65,0.71,0.87
Lagoa da Canoa,2020-10-11,,estimate,0.63,0.65,0.18,0.4,0.53,0.59,0.67,0.75,0.96
Lagoa da Canoa,2020-09-25,,estimate,0.65,0.65,0.16,0.4,0.54,0.61,0.69,0.75,0.92
Lagoa da Canoa,2020-10-12,,estimate,0.65,0.66,0.18,0.41,0.54,0.61,0.69,0.76,0.98
Lagoa da Canoa,2020-10-13,,estimate,0.66,0.68,0.18,0.41,0.56,0.62,0.71,0.78,1
Lagoa da Canoa,2020-10-14,,estimate,0.68,0.7,0.19,0.43,0.58,0.64,0.73,0.8,1.02
Lagoa da Canoa,2020-09-24,,estimate,0.69,0.69,0.16,0.43,0.58,0.65,0.73,0.8,0.97
Lagoa da Canoa,2020-10-15,,estimate,0.7,0.72,0.19,0.44,0.6,0.66,0.75,0.83,1.05
Maceió,2020-09-30,,estimate,0.71,0.71,0.11,0.53,0.63,0.68,0.74,0.79,0.9
Maceió,2020-10-01,,estimate,0.71,0.71,0.11,0.53,0.64,0.68,0.74,0.79,0.91
Maceió,2020-09-29,,estimate,0.71,0.72,0.11,0.54,0.64,0.69,0.74,0.79,0.9
Maceió,2020-10-02,,estimate,0.72,0.72,0.11,0.54,0.64,0.69,0.74,0.79,0.91
Maceió,2020-09-28,,estimate,0.72,0.72,0.11,0.54,0.64,0.69,0.75,0.8,0.91
Maceió,2020-10-03,,estimate,0.72,0.72,0.11,0.55,0.66,0.69,0.75,0.8,0.91
Lagoa da Canoa,2020-10-16,,estimate,0.72,0.74,0.19,0.46,0.61,0.68,0.77,0.86,1.06
Maceió,2020-09-27,,estimate,0.73,0.73,0.11,0.54,0.66,0.71,0.76,0.81,0.91
Maceió,2020-10-04,,estimate,0.73,0.73,0.11,0.56,0.66,0.71,0.76,0.81,0.92
Lagoa da Canoa,2020-10-17,,estimate,0.74,0.76,0.2,0.47,0.63,0.7,0.79,0.88,1.08
Maceió,2020-09-26,,estimate,0.75,0.74,0.11,0.56,0.67,0.72,0.78,0.82,0.92
Maceió,2020-10-05,,estimate,0.75,0.75,0.1,0.58,0.68,0.72,0.77,0.82,0.92
Maceió,2020-10-06,,estimate,0.76,0.77,0.1,0.6,0.7,0.74,0.79,0.83,0.93
Maceió,2020-09-25,,estimate,0.77,0.76,0.11,0.58,0.69,0.74,0.79,0.84,0.93
Santana do Ipanema,2020-09-24,,estimate,0.77,0.77,0.07,0.65,0.73,0.76,0.79,0.82,0.89
Lagoa da Canoa,2020-10-18,,estimate,0.77,0.79,0.2,0.49,0.65,0.73,0.82,0.9,1.11
Santana do Ipanema,2020-09-25,,estimate,0.78,0.78,0.07,0.65,0.73,0.76,0.79,0.82,0.9
Santana do Ipanema,2020-09-26,,estimate,0.78,0.78,0.08,0.65,0.73,0.76,0.8,0.83,0.9
Maceió,2020-10-07,,estimate,0.78,0.79,0.1,0.62,0.72,0.76,0.81,0.85,0.95
Santana do Ipanema,2020-09-27,,estimate,0.79,0.78,0.08,0.65,0.74,0.77,0.8,0.83,0.91
Maceió,2020-09-24,,estimate,0.79,0.78,0.1,0.6,0.71,0.76,0.82,0.86,0.94
Santana do Ipanema,2020-09-28,,estimate,0.79,0.79,0.08,0.65,0.74,0.77,0.81,0.84,0.92
Lagoa da Canoa,2020-10-19,,estimate,0.79,0.81,0.2,0.51,0.68,0.75,0.84,0.92,1.15
Santana do Ipanema,2020-09-29,,estimate,0.8,0.79,0.08,0.65,0.74,0.78,0.82,0.84,0.92
Santana do Ipanema,2020-09-30,,estimate,0.8,0.8,0.09,0.65,0.75,0.78,0.82,0.85,0.93
Santana do Ipanema,2020-10-01,,estimate,0.81,0.81,0.09,0.66,0.75,0.79,0.83,0.86,0.94
Maceió,2020-10-08,,estimate,0.81,0.81,0.1,0.65,0.74,0.78,0.83,0.87,0.96
Santana do Ipanema,2020-10-02,,estimate,0.82,0.81,0.09,0.66,0.76,0.8,0.84,0.87,0.95
Santana do Ipanema,2020-10-03,,estimate,0.83,0.82,0.09,0.67,0.76,0.8,0.85,0.88,0.97
Santana do Ipanema,2020-10-04,,estimate,0.83,0.83,0.09,0.67,0.77,0.81,0.85,0.89,0.98
Maceió,2020-10-09,,estimate,0.83,0.83,0.1,0.68,0.77,0.81,0.86,0.9,0.98
Lagoa da Canoa,2020-10-20,,estimate,0.83,0.84,0.2,0.53,0.7,0.78,0.87,0.95,1.19
Arapiraca,2020-09-28,,estimate,0.84,0.83,0.1,0.66,0.76,0.81,0.87,0.91,0.98
Arapiraca,2020-09-25,,estimate,0.84,0.83,0.11,0.63,0.76,0.81,0.87,0.92,0.98
Arapiraca,2020-09-26,,estimate,0.84,0.83,0.11,0.64,0.75,0.81,0.87,0.92,0.98
Arapiraca,2020-09-27,,estimate,0.84,0.83,0.11,0.65,0.76,0.8,0.87,0.91,0.98
Santana do Ipanema,2020-10-05,,estimate,0.84,0.84,0.1,0.68,0.78,0.82,0.86,0.9,0.98
Arapiraca,2020-09-29,,estimate,0.85,0.84,0.1,0.67,0.78,0.82,0.88,0.92,0.98
Arapiraca,2020-09-24,,estimate,0.85,0.84,0.11,0.63,0.76,0.82,0.88,0.93,0.99
Santana do Ipanema,2020-10-06,,estimate,0.85,0.85,0.1,0.69,0.79,0.83,0.88,0.91,1
Lagoa da Canoa,2020-10-21,,estimate,0.85,0.86,0.21,0.55,0.73,0.8,0.9,0.99,1.21
Arapiraca,2020-09-30,,estimate,0.86,0.85,0.09,0.69,0.79,0.83,0.88,0.92,0.99
Maceió,2020-10-10,,estimate,0.86,0.86,0.1,0.7,0.8,0.84,0.88,0.92,1.01
Santana do Ipanema,2020-10-07,,estimate,0.86,0.86,0.1,0.7,0.8,0.84,0.89,0.92,1.01
Pilar,2020-10-05,,estimate,0.87,0.86,0.09,0.7,0.82,0.85,0.89,0.91,1
