Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Arapiraca,41 (9 -- 258),Unsure,1.1 (0.6 -- 2.1),0.03 (-0.11 -- 0.28),23.1 (2.5 -- -6.1)
Coruripe,4 (1 -- 19),Unsure,1 (0.7 -- 1.4),0 (-0.08 -- 0.11),-251.7 (6.3 -- -8.3)
Delmiro Gouveia,2 (0 -- 14),Unsure,1.1 (0.5 -- 1.8),0.01 (-0.15 -- 0.2),49 (3.5 -- -4.6)
Girau do Ponciano,0 (0 -- 3),Unsure,0.9 (0.5 -- 1.5),-0.02 (-0.14 -- 0.12),-33.7 (5.8 -- -5)
Joaquim Gomes,1 (0 -- 7),Unsure,1 (0.5 -- 1.5),-0.01 (-0.15 -- 0.12),-50.8 (5.9 -- -4.6)
Lagoa da Canoa,7 (0 -- 392),Unsure,1.7 (0.5 -- 6),0.19 (-0.16 -- 1.02),3.7 (0.7 -- -4.4)
Maceió,42 (5 -- 339),Unsure,1 (0.4 -- 2),0 (-0.17 -- 0.25),-1038.3 (2.8 -- -4)
Marechal Deodoro,5 (1 -- 44),Unsure,1 (0.6 -- 1.8),0.01 (-0.13 -- 0.21),63.5 (3.4 -- -5.4)
Matriz de Camaragibe,1 (0 -- 14),Unsure,1 (0.5 -- 1.9),0 (-0.13 -- 0.23),257.8 (3 -- -5.1)
Palmeira dos Índios,3 (1 -- 13),Unsure,1 (0.7 -- 1.4),-0.01 (-0.08 -- 0.09),-84.8 (7.4 -- -9.1)
Penedo,1 (0 -- 6),Unsure,0.9 (0.4 -- 1.3),-0.03 (-0.17 -- 0.08),-22.8 (8.7 -- -4)
Pilar,1 (0 -- 10),Unsure,1 (0.5 -- 1.6),0 (-0.15 -- 0.17),-8552 (4.2 -- -4.7)
Santana do Ipanema,13 (2 -- 85),Unsure,1.3 (0.7 -- 2.2),0.08 (-0.09 -- 0.28),9.1 (2.4 -- -7.5)
