region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Penedo,2020-11-15,,estimate based on partial data,1,2,4,0,1,1,2,2,5
Penedo,2020-11-16,,estimate based on partial data,1,2,6,0,1,1,2,2,6
Penedo,2020-11-17,,estimate based on partial data,1,2,10,0,1,1,2,2,6
Penedo,2020-11-18,,estimate based on partial data,1,3,17,0,1,1,2,2,7
Penedo,2020-11-19,,forecast,1,3,29,0,1,1,2,2,7
Penedo,2020-11-20,,forecast,1,4,49,0,1,1,2,2,8
Penedo,2020-11-21,,forecast,1,5,85,0,0,1,2,2,8
Penedo,2020-11-22,,forecast,1,7,148,0,0,1,2,2,9
Penedo,2020-11-23,,forecast,1,11,259,0,0,1,2,2,9
Penedo,2020-11-24,,forecast,1,18,457,0,0,1,1,2,10
Penedo,2020-11-25,,forecast,1,30,813,0,0,1,1,2,11
Santana do Ipanema,2020-10-09,,estimate,2,2,1,1,1,1,2,2,3
Santana do Ipanema,2020-10-10,,estimate,2,2,1,1,1,1,2,2,3
Santana do Ipanema,2020-10-11,,estimate,2,2,1,1,1,1,2,2,3
Santana do Ipanema,2020-10-12,,estimate,2,2,1,1,1,1,2,2,3
Santana do Ipanema,2020-10-13,,estimate,2,2,1,1,1,1,2,2,3
Santana do Ipanema,2020-10-14,,estimate,2,2,1,1,1,1,2,2,3
Santana do Ipanema,2020-10-15,,estimate,2,2,1,1,1,1,2,2,3
Santana do Ipanema,2020-10-16,,estimate,2,2,1,1,1,1,2,2,3
Santana do Ipanema,2020-10-17,,estimate,2,2,1,1,1,1,2,2,3
Penedo,2020-11-10,,estimate based on partial data,2,2,1,1,1,1,2,3,5
Santana do Ipanema,2020-10-05,,estimate,2,2,1,1,1,2,2,2,3
Santana do Ipanema,2020-10-06,,estimate,2,2,1,1,1,2,2,2,3
Santana do Ipanema,2020-10-07,,estimate,2,2,1,1,1,2,2,2,3
Santana do Ipanema,2020-10-08,,estimate,2,2,1,1,1,2,2,2,3
Santana do Ipanema,2020-10-18,,estimate,2,2,1,1,1,2,2,2,3
Santana do Ipanema,2020-10-19,,estimate,2,2,1,1,1,2,2,2,3
Santana do Ipanema,2020-10-20,,estimate,2,2,1,1,1,2,2,2,3
Penedo,2020-11-06,,estimate,2,2,1,1,1,2,2,3,4
Penedo,2020-11-07,,estimate,2,2,1,1,1,2,2,3,4
Penedo,2020-11-08,,estimate,2,2,1,1,1,2,2,3,4
Penedo,2020-11-09,,estimate based on partial data,2,2,1,1,1,2,2,3,5
Santana do Ipanema,2020-10-02,,estimate,2,2,1,1,2,2,2,2,3
Santana do Ipanema,2020-10-03,,estimate,2,2,1,1,2,2,2,2,3
Santana do Ipanema,2020-10-04,,estimate,2,2,1,1,2,2,2,2,3
Santana do Ipanema,2020-10-21,,estimate,2,2,1,1,2,2,2,2,3
Santana do Ipanema,2020-10-22,,estimate,2,2,1,1,2,2,2,2,3
Santana do Ipanema,2020-09-30,,estimate,2,2,1,1,2,2,2,3,3
Santana do Ipanema,2020-10-01,,estimate,2,2,1,1,2,2,2,3,3
Santana do Ipanema,2020-10-23,,estimate,2,2,1,1,2,2,2,3,3
Penedo,2020-11-03,,estimate,2,2,1,1,2,2,2,3,4
Penedo,2020-11-04,,estimate,2,2,1,1,2,2,2,3,4
Penedo,2020-11-05,,estimate,2,2,1,1,2,2,2,3,4
Santana do Ipanema,2020-10-24,,estimate,2,2,1,1,2,2,2,3,4
Santana do Ipanema,2020-10-25,,estimate,2,2,1,1,2,2,3,3,4
Santana do Ipanema,2020-09-29,,estimate,2,2,1,2,2,2,2,3,4
Penedo,2020-11-13,,estimate based on partial data,2,2,2,0,1,1,2,2,5
Penedo,2020-11-11,,estimate based on partial data,2,2,2,0,1,1,2,3,5
Penedo,2020-11-12,,estimate based on partial data,2,2,2,0,1,1,2,3,5
Penedo,2020-11-14,,estimate based on partial data,2,2,3,0,1,1,2,2,5
Penedo,2020-11-01,,estimate,2,3,1,1,2,2,3,3,4
Penedo,2020-11-02,,estimate,2,3,1,1,2,2,3,3,4
Penedo,2020-10-31,,estimate,2,3,1,1,2,2,3,3,5
Santana do Ipanema,2020-09-28,,estimate,2,3,1,2,2,2,3,3,4
Penedo,2020-10-30,,estimate,3,3,1,1,2,2,3,3,5
Santana do Ipanema,2020-09-27,,estimate,3,3,1,2,2,2,3,3,4
Santana do Ipanema,2020-10-26,,estimate,3,3,1,2,2,2,3,3,4
Penedo,2020-10-29,,estimate,3,3,1,2,2,2,3,3,5
Santana do Ipanema,2020-09-26,,estimate,3,3,1,2,2,3,3,3,4
Santana do Ipanema,2020-10-27,,estimate,3,3,1,2,2,3,3,3,4
Penedo,2020-10-28,,estimate,3,3,1,2,2,3,3,3,5
Santana do Ipanema,2020-09-25,,estimate,3,3,1,2,2,3,3,3,5
Penedo,2020-10-25,,estimate,3,3,1,2,2,3,3,4,5
Penedo,2020-10-26,,estimate,3,3,1,2,2,3,3,4,5
Penedo,2020-10-27,,estimate,3,3,1,2,2,3,3,4,5
Santana do Ipanema,2020-10-28,,estimate,3,3,1,2,2,3,3,4,5
Penedo,2020-10-23,,estimate,3,3,1,2,3,3,3,4,5
Penedo,2020-10-24,,estimate,3,3,1,2,3,3,3,4,5
