region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Maceió,2020-10-01,,estimate,-0.086,-0.086,0.034,-0.144,-0.11,-0.096,-0.078,-0.062,-0.027
Maceió,2020-09-30,,estimate,-0.086,-0.086,0.035,-0.145,-0.109,-0.095,-0.077,-0.062,-0.027
Maceió,2020-10-02,,estimate,-0.085,-0.085,0.034,-0.141,-0.108,-0.094,-0.077,-0.062,-0.027
Maceió,2020-09-29,,estimate,-0.085,-0.085,0.035,-0.144,-0.108,-0.094,-0.076,-0.061,-0.027
Maceió,2020-10-03,,estimate,-0.083,-0.083,0.033,-0.138,-0.105,-0.092,-0.075,-0.06,-0.026
Maceió,2020-09-28,,estimate,-0.082,-0.083,0.035,-0.142,-0.105,-0.092,-0.073,-0.059,-0.026
Maceió,2020-10-04,,estimate,-0.08,-0.08,0.032,-0.133,-0.102,-0.089,-0.072,-0.057,-0.025
Maceió,2020-09-27,,estimate,-0.079,-0.079,0.034,-0.138,-0.102,-0.087,-0.07,-0.055,-0.025
Maceió,2020-10-05,,estimate,-0.076,-0.076,0.032,-0.128,-0.097,-0.084,-0.068,-0.053,-0.024
Maceió,2020-09-26,,estimate,-0.074,-0.075,0.034,-0.131,-0.097,-0.082,-0.065,-0.051,-0.023
Maceió,2020-10-06,,estimate,-0.07,-0.071,0.031,-0.122,-0.092,-0.079,-0.062,-0.049,-0.022
Maceió,2020-09-25,,estimate,-0.068,-0.07,0.033,-0.126,-0.09,-0.076,-0.06,-0.046,-0.021
Santana do Ipanema,2020-09-24,,estimate,-0.064,-0.064,0.023,-0.099,-0.077,-0.069,-0.059,-0.051,-0.029
Maceió,2020-10-07,,estimate,-0.064,-0.064,0.03,-0.113,-0.085,-0.073,-0.056,-0.043,-0.018
Santana do Ipanema,2020-09-25,,estimate,-0.063,-0.063,0.023,-0.099,-0.077,-0.068,-0.058,-0.049,-0.026
Santana do Ipanema,2020-09-26,,estimate,-0.062,-0.062,0.024,-0.099,-0.076,-0.067,-0.056,-0.047,-0.024
Maceió,2020-09-24,,estimate,-0.061,-0.064,0.032,-0.12,-0.083,-0.069,-0.053,-0.041,-0.018
Santana do Ipanema,2020-09-27,,estimate,-0.061,-0.061,0.024,-0.1,-0.075,-0.065,-0.055,-0.046,-0.023
Santana do Ipanema,2020-09-28,,estimate,-0.059,-0.06,0.025,-0.101,-0.074,-0.064,-0.053,-0.045,-0.02
Santana do Ipanema,2020-09-29,,estimate,-0.057,-0.058,0.025,-0.1,-0.073,-0.062,-0.052,-0.043,-0.018
Maceió,2020-10-08,,estimate,-0.057,-0.057,0.029,-0.105,-0.078,-0.065,-0.049,-0.037,-0.014
Santana do Ipanema,2020-09-30,,estimate,-0.056,-0.057,0.026,-0.1,-0.072,-0.061,-0.05,-0.041,-0.016
Santana do Ipanema,2020-10-01,,estimate,-0.054,-0.055,0.026,-0.1,-0.07,-0.06,-0.048,-0.039,-0.015
Santana do Ipanema,2020-10-02,,estimate,-0.052,-0.053,0.027,-0.101,-0.069,-0.058,-0.046,-0.036,-0.011
Santana do Ipanema,2020-10-03,,estimate,-0.05,-0.051,0.027,-0.1,-0.067,-0.055,-0.044,-0.034,-0.009
Maceió,2020-10-09,,estimate,-0.049,-0.05,0.029,-0.096,-0.07,-0.057,-0.043,-0.03,-0.006
Santana do Ipanema,2020-10-04,,estimate,-0.047,-0.049,0.028,-0.098,-0.064,-0.053,-0.041,-0.031,-0.007
Santana do Ipanema,2020-10-05,,estimate,-0.044,-0.046,0.028,-0.097,-0.062,-0.05,-0.038,-0.028,-0.004
Maceió,2020-10-10,,estimate,-0.042,-0.041,0.029,-0.087,-0.061,-0.048,-0.034,-0.023,0.003
Arapiraca,2020-09-27,,estimate,-0.041,-0.045,0.031,-0.101,-0.067,-0.05,-0.032,-0.02,-0.004
Arapiraca,2020-09-28,,estimate,-0.041,-0.044,0.03,-0.097,-0.065,-0.049,-0.031,-0.02,-0.004
Santana do Ipanema,2020-10-06,,estimate,-0.041,-0.043,0.029,-0.093,-0.059,-0.048,-0.035,-0.025,-0.002
Arapiraca,2020-09-26,,estimate,-0.04,-0.045,0.031,-0.104,-0.067,-0.05,-0.031,-0.019,-0.004
Arapiraca,2020-09-25,,estimate,-0.039,-0.045,0.032,-0.103,-0.067,-0.049,-0.031,-0.019,-0.003
Arapiraca,2020-09-29,,estimate,-0.039,-0.042,0.028,-0.092,-0.061,-0.047,-0.03,-0.02,-0.003
Santana do Ipanema,2020-10-07,,estimate,-0.038,-0.04,0.029,-0.09,-0.056,-0.044,-0.031,-0.023,0.001
Arapiraca,2020-09-24,,estimate,-0.037,-0.043,0.031,-0.101,-0.063,-0.047,-0.029,-0.018,-0.003
Arapiraca,2020-09-30,,estimate,-0.036,-0.039,0.027,-0.087,-0.057,-0.044,-0.028,-0.018,-0.003
Penedo,2020-11-11,,estimate based on partial data,-0.035,-0.042,0.06,-0.153,-0.072,-0.048,-0.022,-0.009,0.045
Penedo,2020-11-10,,estimate based on partial data,-0.035,-0.041,0.057,-0.145,-0.07,-0.047,-0.023,-0.009,0.042
Santana do Ipanema,2020-10-08,,estimate,-0.035,-0.037,0.028,-0.087,-0.053,-0.041,-0.028,-0.019,0.005
Penedo,2020-11-12,,estimate based on partial data,-0.034,-0.042,0.063,-0.153,-0.074,-0.048,-0.022,-0.008,0.051
Penedo,2020-11-13,,estimate based on partial data,-0.034,-0.042,0.067,-0.159,-0.075,-0.049,-0.022,-0.008,0.055
Penedo,2020-11-14,,estimate based on partial data,-0.034,-0.042,0.07,-0.165,-0.077,-0.049,-0.022,-0.007,0.061
Penedo,2020-11-09,,estimate based on partial data,-0.034,-0.041,0.054,-0.137,-0.068,-0.046,-0.023,-0.01,0.037
Penedo,2020-11-15,,estimate based on partial data,-0.034,-0.041,0.074,-0.171,-0.078,-0.05,-0.021,-0.006,0.064
Penedo,2020-11-08,,estimate,-0.034,-0.04,0.051,-0.132,-0.067,-0.046,-0.024,-0.011,0.033
Penedo,2020-11-16,,estimate based on partial data,-0.033,-0.041,0.078,-0.176,-0.079,-0.049,-0.021,-0.005,0.071
Penedo,2020-11-07,,estimate,-0.033,-0.04,0.048,-0.126,-0.065,-0.045,-0.025,-0.011,0.028
Penedo,2020-11-17,,estimate based on partial data,-0.033,-0.04,0.082,-0.18,-0.08,-0.049,-0.021,-0.004,0.08
Penedo,2020-11-06,,estimate,-0.033,-0.039,0.045,-0.121,-0.063,-0.044,-0.024,-0.012,0.027
Penedo,2020-11-18,,estimate based on partial data,-0.033,-0.039,0.086,-0.18,-0.081,-0.05,-0.021,-0.003,0.087
Penedo,2020-11-19,,forecast,-0.033,-0.039,0.086,-0.18,-0.081,-0.05,-0.021,-0.003,0.087
Penedo,2020-11-20,,forecast,-0.033,-0.039,0.086,-0.18,-0.081,-0.05,-0.021,-0.003,0.087
Penedo,2020-11-21,,forecast,-0.033,-0.039,0.086,-0.18,-0.081,-0.05,-0.021,-0.003,0.087
Penedo,2020-11-22,,forecast,-0.033,-0.039,0.086,-0.18,-0.081,-0.05,-0.021,-0.003,0.087
Penedo,2020-11-23,,forecast,-0.033,-0.039,0.086,-0.18,-0.081,-0.05,-0.021,-0.003,0.087
Penedo,2020-11-24,,forecast,-0.033,-0.039,0.086,-0.18,-0.081,-0.05,-0.021,-0.003,0.087
Penedo,2020-11-25,,forecast,-0.033,-0.039,0.086,-0.18,-0.081,-0.05,-0.021,-0.003,0.087
Penedo,2020-11-04,,estimate,-0.033,-0.037,0.04,-0.109,-0.06,-0.042,-0.024,-0.012,0.023
Arapiraca,2020-10-01,,estimate,-0.033,-0.036,0.025,-0.081,-0.052,-0.04,-0.026,-0.016,-0.002
Maceió,2020-10-11,,estimate,-0.033,-0.033,0.029,-0.078,-0.052,-0.04,-0.026,-0.016,0.016
Penedo,2020-11-05,,estimate,-0.032,-0.038,0.043,-0.115,-0.062,-0.043,-0.024,-0.012,0.024
Penedo,2020-11-03,,estimate,-0.032,-0.035,0.038,-0.101,-0.057,-0.041,-0.024,-0.012,0.022
Penedo,2020-11-02,,estimate,-0.032,-0.034,0.036,-0.095,-0.055,-0.04,-0.024,-0.012,0.02
Santana do Ipanema,2020-10-09,,estimate,-0.031,-0.033,0.028,-0.083,-0.049,-0.037,-0.025,-0.016,0.008
Penedo,2020-11-01,,estimate,-0.031,-0.033,0.035,-0.09,-0.054,-0.039,-0.024,-0.012,0.019
Penedo,2020-10-31,,estimate,-0.031,-0.031,0.033,-0.085,-0.052,-0.037,-0.024,-0.012,0.019
Marechal Deodoro,2020-10-01,,estimate,-0.029,-0.035,0.032,-0.094,-0.055,-0.04,-0.02,-0.008,0.006
Marechal Deodoro,2020-09-29,,estimate,-0.029,-0.035,0.033,-0.098,-0.055,-0.039,-0.02,-0.008,0.005
Marechal Deodoro,2020-09-30,,estimate,-0.029,-0.035,0.033,-0.096,-0.056,-0.039,-0.02,-0.008,0.005
Marechal Deodoro,2020-10-02,,estimate,-0.029,-0.034,0.032,-0.091,-0.054,-0.039,-0.019,-0.008,0.006
Arapiraca,2020-10-02,,estimate,-0.029,-0.032,0.023,-0.074,-0.047,-0.036,-0.022,-0.013,0.001
Penedo,2020-10-30,,estimate,-0.029,-0.03,0.032,-0.081,-0.049,-0.037,-0.023,-0.012,0.018
Penedo,2020-10-29,,estimate,-0.029,-0.029,0.03,-0.077,-0.047,-0.035,-0.022,-0.011,0.02
Marechal Deodoro,2020-10-03,,estimate,-0.028,-0.032,0.031,-0.087,-0.052,-0.038,-0.019,-0.007,0.007
Santana do Ipanema,2020-10-10,,estimate,-0.028,-0.029,0.028,-0.077,-0.045,-0.034,-0.022,-0.011,0.013
Penedo,2020-10-28,,estimate,-0.028,-0.028,0.029,-0.073,-0.046,-0.034,-0.021,-0.011,0.019
Marechal Deodoro,2020-09-28,,estimate,-0.027,-0.034,0.033,-0.098,-0.054,-0.038,-0.019,-0.007,0.005
Penedo,2020-10-27,,estimate,-0.027,-0.027,0.029,-0.071,-0.044,-0.033,-0.021,-0.01,0.018
Marechal Deodoro,2020-09-27,,estimate,-0.026,-0.033,0.033,-0.097,-0.051,-0.035,-0.017,-0.007,0.006
Marechal Deodoro,2020-10-04,,estimate,-0.026,-0.03,0.03,-0.083,-0.049,-0.036,-0.018,-0.006,0.008
Penedo,2020-10-26,,estimate,-0.026,-0.026,0.028,-0.068,-0.043,-0.032,-0.02,-0.01,0.02
Penedo,2020-10-25,,estimate,-0.026,-0.025,0.027,-0.066,-0.042,-0.031,-0.02,-0.01,0.02
Arapiraca,2020-10-03,,estimate,-0.025,-0.027,0.022,-0.067,-0.041,-0.031,-0.019,-0.01,0.004
Penedo,2020-10-22,,estimate,-0.025,-0.024,0.026,-0.062,-0.039,-0.03,-0.019,-0.01,0.021
Penedo,2020-10-24,,estimate,-0.025,-0.024,0.027,-0.065,-0.041,-0.031,-0.02,-0.01,0.021
Penedo,2020-10-23,,estimate,-0.025,-0.024,0.027,-0.064,-0.04,-0.031,-0.019,-0.011,0.022
Maceió,2020-10-12,,estimate,-0.025,-0.024,0.03,-0.068,-0.043,-0.032,-0.019,-0.008,0.028
Marechal Deodoro,2020-10-05,,estimate,-0.024,-0.028,0.028,-0.078,-0.046,-0.033,-0.016,-0.005,0.008
Penedo,2020-10-11,,estimate,-0.024,-0.027,0.026,-0.072,-0.04,-0.029,-0.018,-0.012,0.01
Penedo,2020-10-10,,estimate,-0.024,-0.027,0.026,-0.072,-0.04,-0.029,-0.018,-0.011,0.009
Penedo,2020-10-12,,estimate,-0.024,-0.026,0.026,-0.072,-0.04,-0.029,-0.018,-0.011,0.012
Penedo,2020-10-13,,estimate,-0.024,-0.026,0.026,-0.071,-0.039,-0.029,-0.018,-0.011,0.012
Penedo,2020-10-14,,estimate,-0.024,-0.025,0.026,-0.068,-0.039,-0.029,-0.019,-0.012,0.013
