region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Maceió,2020-10-01,,estimate,0.7,0.7,0.11,0.52,0.62,0.67,0.73,0.78,0.9
Maceió,2020-09-30,,estimate,0.7,0.7,0.11,0.52,0.63,0.67,0.73,0.78,0.9
Maceió,2020-09-29,,estimate,0.71,0.71,0.11,0.52,0.63,0.67,0.74,0.79,0.9
Maceió,2020-10-02,,estimate,0.71,0.71,0.11,0.53,0.63,0.67,0.73,0.78,0.9
Maceió,2020-09-28,,estimate,0.71,0.71,0.11,0.53,0.64,0.68,0.74,0.79,0.91
Maceió,2020-10-03,,estimate,0.71,0.71,0.11,0.54,0.64,0.68,0.74,0.79,0.91
Maceió,2020-10-04,,estimate,0.72,0.72,0.11,0.55,0.65,0.69,0.75,0.8,0.91
Maceió,2020-09-27,,estimate,0.73,0.73,0.11,0.54,0.65,0.7,0.76,0.8,0.91
Maceió,2020-10-05,,estimate,0.73,0.74,0.1,0.57,0.66,0.71,0.76,0.81,0.91
Maceió,2020-09-26,,estimate,0.74,0.74,0.11,0.55,0.67,0.71,0.77,0.82,0.92
Maceió,2020-10-06,,estimate,0.75,0.76,0.1,0.59,0.68,0.73,0.78,0.83,0.92
Maceió,2020-09-25,,estimate,0.76,0.76,0.11,0.57,0.69,0.73,0.79,0.84,0.93
Santana do Ipanema,2020-09-24,,estimate,0.77,0.78,0.08,0.66,0.73,0.76,0.79,0.82,0.9
Maceió,2020-10-07,,estimate,0.77,0.78,0.1,0.61,0.71,0.75,0.8,0.85,0.93
Santana do Ipanema,2020-09-25,,estimate,0.78,0.78,0.08,0.66,0.73,0.76,0.8,0.83,0.91
Santana do Ipanema,2020-09-26,,estimate,0.78,0.78,0.08,0.66,0.73,0.77,0.8,0.83,0.91
Maceió,2020-09-24,,estimate,0.78,0.78,0.11,0.59,0.71,0.76,0.81,0.85,0.94
Santana do Ipanema,2020-09-27,,estimate,0.79,0.79,0.08,0.65,0.74,0.77,0.81,0.84,0.92
Santana do Ipanema,2020-09-28,,estimate,0.79,0.79,0.08,0.65,0.74,0.77,0.81,0.84,0.93
Santana do Ipanema,2020-09-29,,estimate,0.8,0.8,0.09,0.65,0.75,0.78,0.82,0.85,0.93
Santana do Ipanema,2020-09-30,,estimate,0.8,0.8,0.09,0.66,0.75,0.79,0.82,0.86,0.94
Maceió,2020-10-08,,estimate,0.8,0.8,0.1,0.64,0.73,0.77,0.83,0.87,0.95
Santana do Ipanema,2020-10-01,,estimate,0.81,0.81,0.09,0.66,0.75,0.79,0.83,0.86,0.95
Santana do Ipanema,2020-10-02,,estimate,0.82,0.81,0.09,0.66,0.76,0.8,0.84,0.87,0.96
Santana do Ipanema,2020-10-03,,estimate,0.82,0.82,0.09,0.66,0.77,0.8,0.84,0.88,0.97
Santana do Ipanema,2020-10-04,,estimate,0.83,0.83,0.1,0.66,0.77,0.81,0.85,0.89,0.97
Maceió,2020-10-09,,estimate,0.83,0.83,0.1,0.67,0.76,0.8,0.85,0.89,0.98
Santana do Ipanema,2020-10-05,,estimate,0.84,0.84,0.1,0.67,0.78,0.82,0.87,0.9,0.99
Arapiraca,2020-09-27,,estimate,0.85,0.84,0.11,0.66,0.77,0.82,0.89,0.93,0.99
Santana do Ipanema,2020-10-06,,estimate,0.85,0.85,0.1,0.68,0.79,0.83,0.88,0.91,0.99
Maceió,2020-10-10,,estimate,0.85,0.85,0.1,0.7,0.78,0.83,0.88,0.92,1.01
Arapiraca,2020-09-26,,estimate,0.86,0.84,0.11,0.65,0.76,0.82,0.89,0.93,0.99
Arapiraca,2020-09-25,,estimate,0.86,0.84,0.11,0.65,0.77,0.83,0.89,0.93,0.99
Arapiraca,2020-09-28,,estimate,0.86,0.85,0.1,0.66,0.77,0.82,0.89,0.93,0.99
Arapiraca,2020-09-29,,estimate,0.86,0.85,0.1,0.68,0.79,0.83,0.89,0.93,0.99
