region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases
Maceió,46 (4 -- 368),46,142,854,4,21,34,61,103,368,New confirmed cases by infection date,Unsure
Arapiraca,39 (10 -- 223),39,77,200,10,23,32,48,71,223,New confirmed cases by infection date,Unsure
Santana do Ipanema,13 (2 -- 90),13,28,58,2,7,10,17,28,90,New confirmed cases by infection date,Unsure
Marechal Deodoro,5 (0 -- 45),5,18,113,0,3,4,7,11,45,New confirmed cases by infection date,Unsure
Coruripe,4 (1 -- 17),4,7,48,1,3,3,5,7,17,New confirmed cases by infection date,Unsure
Palmeira dos Índios,3 (1 -- 12),3,4,8,1,2,2,3,4,12,New confirmed cases by infection date,Unsure
Santana do Ipanema,1.3 (0.7 -- 2.2),1.3,1.3,0.5,0.7,1,1.2,1.4,1.6,2.2,Effective reproduction no.,Unsure
Arapiraca,1.1 (0.6 -- 2),1.1,1.2,0.5,0.6,1,1,1.2,1.3,2,Effective reproduction no.,Unsure
Coruripe,1 (0.7 -- 1.4),1,1,0.3,0.7,0.9,1,1,1.1,1.4,Effective reproduction no.,Unsure
Maceió,1 (0.4 -- 2.1),1,1.1,0.6,0.4,0.8,0.9,1.1,1.3,2.1,Effective reproduction no.,Unsure
Marechal Deodoro,1 (0.5 -- 1.8),1,1.1,0.5,0.5,0.9,1,1.1,1.2,1.8,Effective reproduction no.,Unsure
Palmeira dos Índios,1 (0.8 -- 1.4),1,1,0.2,0.8,0.9,1,1,1.1,1.4,Effective reproduction no.,Unsure
Penedo,1 (0 -- 6),1,2,16,0,0,0,1,2,6,New confirmed cases by infection date,Unsure
Penedo,0.9 (0.4 -- 1.3),0.9,0.9,0.3,0.4,0.7,0.8,0.9,1,1.3,Effective reproduction no.,Unsure
