"dataset","last_attempt","last_attempt_status","latest_results","latest_results_status","latest_results_data_up_to","latest_results_successful_regions","latest_results_timing_out_regions","latest_results_failing_regions","oldest_region_results"
"belgium",2020-11-10 01:34:39,"No Data To Process",2020-11-09 03:59:51,"Complete",2020-11-05,4,0,0,2020-11-09 04:50:57
"brazil",2020-12-25 00:00:06,"Complete",2020-12-25 00:00:06,"Complete",2020-12-21,27,0,0,2020-12-22 21:47:26
"canada",2020-11-09 07:44:16,"Complete",2020-11-09 07:44:16,"Complete",2020-11-05,9,0,0,2020-10-08 01:40:43
"cases",2020-11-04 03:11:53,"No Data To Process",2020-11-03 13:08:57,"Partial",2020-10-31,186,0,2,2020-08-04 12:01:29
"colombia",2020-11-06 02:07:44,"No Data To Process",2020-11-04 05:57:23,"Complete",2020-10-31,33,0,0,2020-10-28 10:43:40
"deaths",2020-11-04 03:13:35,"No Data To Process",2020-11-03 17:53:49,"Partial",2020-10-31,133,0,3,2020-07-31 13:33:32
"germany",2020-11-09 08:29:08,"Partial",2020-11-09 08:29:08,"Partial",2020-11-05,15,0,1,2020-11-05 09:52:57
"india",2020-10-18 11:48:52,"Partial",2020-10-18 11:48:52,"Partial",2020-10-14,34,0,1,2020-09-02 14:17:37
"italy",2020-11-04 06:43:05,"Complete",2020-11-04 06:43:05,"Complete",2020-10-31,20,0,0,2020-10-26 09:44:38
"regional-cases",2020-11-10 00:38:29,"Complete",2020-11-10 00:38:29,"Complete",2020-11-06,6,0,0,2020-11-09 01:25:31
"regional-deaths",2020-11-10 00:52:24,"Complete",2020-11-10 00:52:24,"Complete",2020-11-06,6,0,0,2020-11-08 02:17:09
"russia",2020-11-09 11:01:38,"No Data To Process",2020-10-18 16:16:51,"Partial",2020-10-10,81,0,4,2020-10-12 15:24:23
"united-kingdom",2020-11-05 00:00:23,"Complete",2020-11-05 00:00:23,"Complete",2020-10-30,12,0,0,2020-11-03 08:33:54
"united-kingdom-admissions",2020-11-05 00:57:46,"Partial",2020-11-05 00:57:46,"Partial",2020-11-01,9,0,2,2020-11-04 03:07:11
"united-kingdom-deaths",2020-11-04 02:03:35,"Complete",2020-11-04 02:03:35,"Complete",2020-10-31,12,0,0,2020-11-03 09:11:32
"united-states",2020-11-08 00:05:56,"Partial",2020-11-08 00:05:56,"Partial",2020-11-03,46,0,9,2020-11-03 12:36:28
