region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Acre,2020-09-23,,estimate,91,93,17,68,80,87,95,103,124
Acre,2020-09-24,,estimate,89,91,17,67,79,85,93,100,121
Acre,2020-09-25,,estimate,87,89,16,67,78,84,91,98,118
Acre,2020-09-26,,estimate,86,88,15,66,77,82,90,97,115
Acre,2020-09-27,,estimate,84,86,15,65,76,81,88,95,113
Acre,2020-09-28,,estimate,83,85,15,64,74,79,87,94,111
Acre,2020-09-29,,estimate,82,84,14,63,73,78,86,92,110
Acre,2020-09-30,,estimate,81,82,14,62,72,77,85,91,109
Acre,2020-10-01,,estimate,80,82,14,61,71,77,84,90,107
Acre,2020-10-02,,estimate,79,81,14,60,71,76,83,89,106
Acre,2020-10-03,,estimate,79,80,14,59,70,75,82,89,106
Acre,2020-10-04,,estimate,78,80,15,59,70,75,82,89,106
Acre,2020-10-05,,estimate,78,80,15,58,69,75,82,89,106
Acre,2020-10-06,,estimate,78,80,15,58,69,74,82,89,106
Acre,2020-10-07,,estimate,78,80,15,58,69,74,82,89,107
Acre,2020-10-08,,estimate,79,80,15,58,69,75,83,90,108
Acre,2020-10-09,,estimate,79,81,16,58,70,75,83,91,108
Acre,2020-10-10,,estimate,80,82,16,58,70,76,84,92,110
Acre,2020-10-11,,estimate,81,83,16,59,71,77,85,92,112
Acre,2020-10-12,,estimate,82,84,16,60,72,78,87,94,114
Acre,2020-10-13,,estimate,83,85,17,61,73,80,88,95,116
Acre,2020-10-14,,estimate,85,87,17,62,75,81,90,97,118
Acre,2020-10-15,,estimate,87,89,17,64,76,83,92,99,120
Acre,2020-10-16,,estimate,89,91,18,65,78,85,94,102,123
Acre,2020-10-17,,estimate,92,93,18,67,80,87,97,104,126
Acre,2020-10-18,,estimate,95,96,18,69,83,90,99,107,129
Acre,2020-10-19,,estimate,98,99,19,71,86,93,102,110,132
Acre,2020-10-20,,estimate,101,102,19,73,89,96,105,114,137
Acre,2020-10-21,,estimate,105,106,20,76,92,100,109,118,140
Acre,2020-10-22,,estimate,109,110,20,80,96,104,113,122,145
Acre,2020-10-23,,estimate,113,114,20,83,100,108,118,126,150
Acre,2020-10-24,,estimate,117,119,21,87,104,113,122,131,155
Acre,2020-10-25,,estimate,122,124,22,92,109,117,128,137,160
Acre,2020-10-26,,estimate,128,129,22,96,114,122,133,142,167
Acre,2020-10-27,,estimate,133,135,23,101,119,127,139,149,174
Acre,2020-10-28,,estimate,139,141,24,106,124,133,145,155,183
Acre,2020-10-29,,estimate,145,147,25,111,130,139,151,162,191
Acre,2020-10-30,,estimate,151,154,26,117,135,145,158,170,201
Acre,2020-10-31,,estimate,157,161,27,122,141,151,164,177,210
Acre,2020-11-01,,estimate,164,168,29,128,147,157,172,184,220
Acre,2020-11-02,,estimate,171,175,30,133,153,164,179,193,230
Acre,2020-11-03,,estimate,178,182,32,138,159,170,186,201,240
Acre,2020-11-04,,estimate,185,189,34,142,165,177,193,209,250
Acre,2020-11-05,,estimate,192,196,35,147,170,183,200,217,260
Acre,2020-11-06,,estimate,198,203,37,150,176,189,207,225,269
Acre,2020-11-07,,estimate,204,209,39,154,181,195,214,232,278
Acre,2020-11-08,,estimate,210,215,40,158,185,200,220,239,287
Acre,2020-11-09,,estimate,215,220,42,161,190,205,225,244,295
Acre,2020-11-10,,estimate,220,224,43,165,193,209,230,250,300
Acre,2020-11-11,,estimate,223,228,44,168,197,213,234,253,306
Acre,2020-11-12,,estimate,226,232,44,170,200,216,237,256,310
Acre,2020-11-13,,estimate,229,234,44,171,203,218,240,259,315
Acre,2020-11-14,,estimate,230,236,45,173,204,220,241,260,317
Acre,2020-11-15,,estimate,231,237,44,174,205,221,242,262,319
Acre,2020-11-16,,estimate,231,237,44,175,206,221,242,262,318
Acre,2020-11-17,,estimate,231,236,44,175,206,221,242,261,316
Acre,2020-11-18,,estimate,230,235,43,176,205,220,241,260,314
Acre,2020-11-19,,estimate,228,234,42,174,204,219,239,258,311
Acre,2020-11-20,,estimate,227,232,42,173,203,217,237,256,308
Acre,2020-11-21,,estimate,224,229,41,171,200,215,235,253,305
Acre,2020-11-22,,estimate,222,227,41,168,198,212,233,251,301
Acre,2020-11-23,,estimate,219,224,41,166,195,210,230,248,298
Acre,2020-11-24,,estimate,217,221,40,162,192,207,227,245,294
Acre,2020-11-25,,estimate,213,217,40,159,189,204,224,241,290
Acre,2020-11-26,,estimate,210,214,40,155,185,201,220,238,285
Acre,2020-11-27,,estimate,207,211,40,152,182,198,217,235,284
Acre,2020-11-28,,estimate,204,207,41,148,179,194,214,231,281
Acre,2020-11-29,,estimate,201,204,41,145,175,191,210,228,278
Acre,2020-11-30,,estimate,197,201,42,141,171,187,207,224,277
Acre,2020-12-01,,estimate,193,198,43,138,167,183,203,222,276
Acre,2020-12-02,,estimate,190,195,44,134,163,179,200,220,276
Acre,2020-12-03,,estimate,187,192,46,130,160,176,197,217,278
Acre,2020-12-04,,estimate,184,190,48,123,156,173,195,215,280
Acre,2020-12-05,,estimate,181,188,51,118,151,170,193,215,285
Acre,2020-12-06,,estimate based on partial data,179,186,54,113,148,167,192,214,288
Acre,2020-12-07,,estimate based on partial data,177,184,57,106,143,164,191,216,292
Acre,2020-12-08,,estimate based on partial data,175,183,62,99,139,160,191,216,299
Acre,2020-12-09,,estimate based on partial data,173,183,67,93,135,157,190,219,311
Acre,2020-12-10,,estimate based on partial data,172,183,74,86,130,154,190,221,322
Acre,2020-12-11,,estimate based on partial data,169,184,82,79,126,151,191,224,340
Acre,2020-12-12,,estimate based on partial data,168,185,92,73,121,149,190,228,362
Acre,2020-12-13,,estimate based on partial data,167,188,106,67,116,146,190,233,385
Acre,2020-12-14,,estimate based on partial data,166,192,123,61,112,143,190,236,413
Acre,2020-12-15,,estimate based on partial data,164,197,149,55,107,140,191,240,446
Acre,2020-12-16,,estimate based on partial data,163,205,188,50,103,136,191,246,488
Acre,2020-12-17,,forecast,161,213,241,46,99,133,191,251,524
Acre,2020-12-18,,forecast,160,223,323,42,95,131,192,256,570
Acre,2020-12-19,,forecast,158,237,452,38,91,127,193,262,628
Acre,2020-12-20,,forecast,156,254,658,34,88,124,193,267,692
Acre,2020-12-21,,forecast,154,276,986,31,84,121,193,272,754
Acre,2020-12-22,,forecast,152,304,1512,29,80,118,194,279,823
Acre,2020-12-23,,forecast,150,343,2356,26,77,115,194,284,905
Acre,2020-12-24,,forecast,149,396,3710,23,73,113,195,289,984
Acre,2020-12-25,,forecast,148,469,5883,21,70,110,196,296,1081
Acre,2020-12-26,,forecast,147,573,9369,19,67,107,195,302,1192
Acre,2020-12-27,,forecast,145,724,14966,17,65,105,195,306,1277
Acre,2020-12-28,,forecast,144,945,23956,16,62,102,195,313,1431
Acre,2020-12-29,,forecast,143,1275,38401,14,59,100,194,318,1576
Acre,2020-12-30,,forecast,141,1773,61616,13,57,97,195,325,1699
Alagoas,2020-09-23,,estimate,201,203,24,168,186,195,206,217,246
Alagoas,2020-09-24,,estimate,190,192,22,160,177,185,195,205,231
Alagoas,2020-09-25,,estimate,179,181,20,151,167,174,184,192,216
Alagoas,2020-09-26,,estimate,168,170,19,142,157,164,173,181,202
Alagoas,2020-09-27,,estimate,158,159,17,133,147,154,162,169,189
Alagoas,2020-09-28,,estimate,149,149,16,124,138,145,153,160,177
Alagoas,2020-09-29,,estimate,140,141,16,116,130,136,144,151,168
Alagoas,2020-09-30,,estimate,132,133,15,108,123,128,136,143,159
Alagoas,2020-10-01,,estimate,125,126,15,101,116,121,129,135,151
Alagoas,2020-10-02,,estimate,119,119,15,95,109,115,123,129,144
Alagoas,2020-10-03,,estimate,113,114,15,90,104,110,117,124,138
Alagoas,2020-10-04,,estimate,109,109,15,86,99,105,112,118,133
Alagoas,2020-10-05,,estimate,104,105,14,82,95,101,108,114,129
Alagoas,2020-10-06,,estimate,101,101,14,79,92,97,104,110,125
Alagoas,2020-10-07,,estimate,98,98,14,76,89,94,101,107,121
Alagoas,2020-10-08,,estimate,95,96,13,74,86,92,99,104,118
