region,date,median,type,strat,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Acre,2020-09-25,154,reported,,,,,,,,,
Acre,2020-09-25,99,estimate,,122,94,20,56,80,120,163,297
Acre,2020-09-26,149,reported,,,,,,,,,
Acre,2020-09-26,77,estimate,,95,75,14,43,62,93,126,234
Acre,2020-09-27,15,reported,,,,,,,,,
Acre,2020-09-27,43,estimate,,53,43,7,23,34,52,71,137
Acre,2020-09-28,11,reported,,,,,,,,,
Acre,2020-09-28,37,estimate,,47,39,7,20,30,45,61,122
Acre,2020-09-29,145,reported,,,,,,,,,
Acre,2020-09-29,78,estimate,,96,75,14,43,62,94,127,238
Acre,2020-09-30,192,reported,,,,,,,,,
Acre,2020-09-30,77,estimate,,95,73,14,42,62,93,126,234
Acre,2020-10-01,187,reported,,,,,,,,,
Acre,2020-10-01,80,estimate,,100,80,16,43,64,98,132,256
Acre,2020-10-02,146,reported,,,,,,,,,
Acre,2020-10-02,100,estimate,,126,100,19,56,81,123,165,325
Acre,2020-10-03,107,reported,,,,,,,,,
Acre,2020-10-03,73,estimate,,92,74,14,41,59,90,122,237
Acre,2020-10-04,10,reported,,,,,,,,,
Acre,2020-10-04,41,estimate,,52,41,7,22,34,50,69,129
Acre,2020-10-05,15,reported,,,,,,,,,
Acre,2020-10-05,36,estimate,,45,36,7,20,29,43,59,114
Acre,2020-10-06,118,reported,,,,,,,,,
Acre,2020-10-06,74,estimate,,91,70,15,41,59,90,121,226
Acre,2020-10-07,13,reported,,,,,,,,,
Acre,2020-10-07,72,estimate,,89,70,14,40,59,86,118,222
Acre,2020-10-08,16,reported,,,,,,,,,
Acre,2020-10-08,78,estimate,,95,75,14,44,63,95,125,231
Acre,2020-10-09,183,reported,,,,,,,,,
Acre,2020-10-09,98,estimate,,120,92,19,55,80,119,161,297
Acre,2020-10-10,14,reported,,,,,,,,,
Acre,2020-10-10,73,estimate,,90,70,13,39,59,89,121,219
Acre,2020-10-11,19,reported,,,,,,,,,
Acre,2020-10-11,40,estimate,,50,40,7,21,32,49,66,126
Acre,2020-10-12,13,reported,,,,,,,,,
Acre,2020-10-12,34,estimate,,43,34,6,19,28,42,57,113
Acre,2020-10-13,209,reported,,,,,,,,,
Acre,2020-10-13,73,estimate,,89,68,15,40,59,89,118,224
Acre,2020-10-14,29,reported,,,,,,,,,
Acre,2020-10-14,71,estimate,,90,73,14,41,58,86,119,226
Acre,2020-10-15,105,reported,,,,,,,,,
Acre,2020-10-15,77,estimate,,93,73,15,42,62,92,124,235
Acre,2020-10-16,192,reported,,,,,,,,,
Acre,2020-10-16,96,estimate,,119,94,19,54,78,118,160,287
Acre,2020-10-17,95,reported,,,,,,,,,
Acre,2020-10-17,74,estimate,,91,70,15,42,60,89,119,229
Acre,2020-10-18,25,reported,,,,,,,,,
Acre,2020-10-18,40,estimate,,51,40,8,23,33,49,70,128
Acre,2020-10-19,47,reported,,,,,,,,,
Acre,2020-10-19,37,estimate,,46,35,7,21,30,46,61,114
Acre,2020-10-20,100,reported,,,,,,,,,
Acre,2020-10-20,75,estimate,,94,75,14,43,62,91,123,233
Acre,2020-10-21,60,reported,,,,,,,,,
Acre,2020-10-21,76,estimate,,94,74,15,42,61,92,127,235
Acre,2020-10-22,103,reported,,,,,,,,,
Acre,2020-10-22,81,estimate,,101,79,16,47,67,99,134,253
Acre,2020-10-23,93,reported,,,,,,,,,
Acre,2020-10-23,108,estimate,,134,106,21,59,87,131,178,339
Acre,2020-10-24,96,reported,,,,,,,,,
Acre,2020-10-24,82,estimate,,100,77,16,45,65,99,135,251
Acre,2020-10-25,87,reported,,,,,,,,,
Acre,2020-10-25,47,estimate,,59,48,9,26,38,57,77,151
Acre,2020-10-26,13,reported,,,,,,,,,
Acre,2020-10-26,41,estimate,,53,42,8,23,34,51,70,132
Acre,2020-10-27,63,reported,,,,,,,,,
Acre,2020-10-27,91,estimate,,113,90,16,50,72,110,150,283
Acre,2020-10-28,165,reported,,,,,,,,,
Acre,2020-10-28,94,estimate,,115,88,16,52,77,113,156,285
Acre,2020-10-29,93,reported,,,,,,,,,
Acre,2020-10-29,96,estimate,,122,97,21,55,79,116,161,303
Acre,2020-10-30,120,reported,,,,,,,,,
Acre,2020-10-30,127,estimate,,160,125,25,73,104,157,210,409
Acre,2020-10-31,38,reported,,,,,,,,,
Acre,2020-10-31,104,estimate,,128,98,20,58,84,125,169,319
Acre,2020-11-01,155,reported,,,,,,,,,
Acre,2020-11-01,58,estimate,,72,56,11,32,47,70,96,179
Acre,2020-11-02,3,reported,,,,,,,,,
Acre,2020-11-02,54,estimate,,66,52,11,30,43,65,87,168
Acre,2020-11-03,8,reported,,,,,,,,,
Acre,2020-11-03,117,estimate,,146,114,23,67,96,142,194,365
Acre,2020-11-04,256,reported,,,,,,,,,
Acre,2020-11-04,120,estimate,,147,114,25,67,96,145,194,358
Acre,2020-11-05,30,reported,,,,,,,,,
Acre,2020-11-05,130,estimate,,160,121,25,72,105,158,215,394
Acre,2020-11-06,78,reported,,,,,,,,,
Acre,2020-11-06,170,estimate,,211,162,34,95,139,205,283,522
Acre,2020-11-07,249,reported,,,,,,,,,
Acre,2020-11-07,134,estimate,,164,124,27,76,109,162,222,404
Acre,2020-11-08,132,reported,,,,,,,,,
Acre,2020-11-08,75,estimate,,92,70,15,42,61,91,125,225
Acre,2020-11-09,81,reported,,,,,,,,,
Acre,2020-11-09,73,estimate,,88,70,13,40,58,86,117,220
Acre,2020-11-10,138,reported,,,,,,,,,
Acre,2020-11-10,154,estimate,,190,143,28,87,126,187,254,469
Acre,2020-11-11,187,reported,,,,,,,,,
Acre,2020-11-11,162,estimate,,198,152,30,91,130,197,263,487
Acre,2020-11-12,402,reported,,,,,,,,,
Acre,2020-11-12,169,estimate,,210,160,35,95,139,208,283,522
Acre,2020-11-13,146,reported,,,,,,,,,
Acre,2020-11-13,226,estimate,,278,212,45,126,185,274,373,698
Acre,2020-11-14,330,reported,,,,,,,,,
Acre,2020-11-14,171,estimate,,214,167,32,94,139,212,290,543
Acre,2020-11-15,165,reported,,,,,,,,,
Acre,2020-11-15,98,estimate,,121,93,19,55,80,121,159,305
Acre,2020-11-16,139,reported,,,,,,,,,
Acre,2020-11-16,88,estimate,,108,83,17,49,72,107,148,266
Acre,2020-11-17,180,reported,,,,,,,,,
Acre,2020-11-17,187,estimate,,233,179,38,107,154,224,310,589
