region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Acre,2020-09-22,,estimate,-0.022,-0.023,0.031,-0.075,-0.044,-0.03,-0.014,0,0.025
Acre,2020-09-23,,estimate,-0.022,-0.023,0.029,-0.072,-0.043,-0.03,-0.015,-0.002,0.022
Acre,2020-09-24,,estimate,-0.022,-0.023,0.027,-0.069,-0.042,-0.029,-0.015,-0.003,0.02
Acre,2020-09-25,,estimate,-0.022,-0.022,0.026,-0.066,-0.04,-0.029,-0.015,-0.004,0.018
Acre,2020-09-26,,estimate,-0.022,-0.022,0.025,-0.063,-0.039,-0.029,-0.015,-0.005,0.017
Acre,2020-09-27,,estimate,-0.021,-0.022,0.024,-0.061,-0.038,-0.028,-0.015,-0.005,0.017
Acre,2020-09-28,,estimate,-0.021,-0.021,0.023,-0.058,-0.036,-0.027,-0.015,-0.005,0.016
Acre,2020-09-29,,estimate,-0.02,-0.02,0.022,-0.056,-0.035,-0.026,-0.014,-0.004,0.016
Acre,2020-09-30,,estimate,-0.019,-0.019,0.021,-0.054,-0.033,-0.024,-0.013,-0.004,0.015
Acre,2020-10-01,,estimate,-0.017,-0.017,0.021,-0.051,-0.031,-0.022,-0.012,-0.003,0.015
Acre,2020-10-02,,estimate,-0.015,-0.016,0.02,-0.049,-0.029,-0.02,-0.01,-0.002,0.015
Acre,2020-10-03,,estimate,-0.013,-0.014,0.019,-0.047,-0.027,-0.018,-0.008,-0.001,0.016
Acre,2020-10-04,,estimate,-0.011,-0.012,0.019,-0.044,-0.025,-0.016,-0.006,0.001,0.017
Acre,2020-10-05,,estimate,-0.009,-0.01,0.018,-0.042,-0.022,-0.014,-0.004,0.003,0.017
Acre,2020-10-06,,estimate,-0.007,-0.008,0.018,-0.039,-0.019,-0.011,-0.002,0.005,0.019
Acre,2020-10-07,,estimate,-0.004,-0.005,0.017,-0.036,-0.016,-0.009,0,0.007,0.02
Acre,2020-10-08,,estimate,-0.002,-0.003,0.017,-0.032,-0.013,-0.006,0.003,0.009,0.022
Acre,2020-10-09,,estimate,0.001,0,0.017,-0.03,-0.01,-0.003,0.005,0.011,0.024
Acre,2020-10-10,,estimate,0.004,0.002,0.016,-0.027,-0.007,0,0.007,0.013,0.027
Acre,2020-10-11,,estimate,0.006,0.005,0.016,-0.023,-0.004,0.003,0.01,0.016,0.03
Acre,2020-10-12,,estimate,0.009,0.008,0.016,-0.02,-0.001,0.005,0.012,0.018,0.033
Acre,2020-10-13,,estimate,0.012,0.011,0.016,-0.016,0.002,0.008,0.015,0.02,0.035
Acre,2020-10-14,,estimate,0.014,0.014,0.016,-0.013,0.005,0.011,0.018,0.023,0.038
Acre,2020-10-15,,estimate,0.017,0.016,0.016,-0.01,0.007,0.013,0.02,0.025,0.042
Acre,2020-10-16,,estimate,0.019,0.019,0.016,-0.007,0.01,0.016,0.022,0.028,0.046
Acre,2020-10-17,,estimate,0.021,0.022,0.016,-0.004,0.012,0.018,0.025,0.031,0.049
Acre,2020-10-18,,estimate,0.024,0.025,0.016,-0.001,0.015,0.02,0.028,0.034,0.052
Acre,2020-10-19,,estimate,0.026,0.027,0.017,0.002,0.017,0.023,0.03,0.037,0.055
Acre,2020-10-20,,estimate,0.029,0.03,0.017,0.005,0.019,0.025,0.032,0.039,0.058
Acre,2020-10-21,,estimate,0.031,0.032,0.017,0.008,0.021,0.027,0.035,0.042,0.061
Acre,2020-10-22,,estimate,0.033,0.034,0.017,0.01,0.023,0.029,0.037,0.045,0.063
Acre,2020-10-23,,estimate,0.035,0.036,0.017,0.012,0.025,0.032,0.04,0.047,0.066
Acre,2020-10-24,,estimate,0.037,0.038,0.018,0.013,0.026,0.033,0.042,0.049,0.069
Acre,2020-10-25,,estimate,0.039,0.04,0.018,0.014,0.028,0.035,0.044,0.051,0.071
Acre,2020-10-26,,estimate,0.041,0.042,0.018,0.015,0.029,0.036,0.045,0.053,0.073
