region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Acre,2020-10-07,,estimate,1.0767,1.0714,0.106,0.8872,1.0092,1.0536,1.0991,1.1364,1.2373
Acre,2020-10-08,,estimate,1.0772,1.0724,0.1002,0.8978,1.0147,1.056,1.0988,1.1347,1.2261
Acre,2020-10-09,,estimate,1.0778,1.0738,0.0948,0.9073,1.0185,1.0579,1.0989,1.1331,1.2199
Acre,2020-10-10,,estimate,1.0789,1.0754,0.0897,0.9172,1.023,1.0606,1.0989,1.1323,1.2162
Acre,2020-10-11,,estimate,1.0805,1.0772,0.085,0.9254,1.0275,1.0625,1.0992,1.1317,1.2114
Acre,2020-10-12,,estimate,1.0828,1.0794,0.0807,0.9352,1.0321,1.0652,1.1005,1.1302,1.2081
Acre,2020-10-13,,estimate,1.0851,1.0818,0.0766,0.9465,1.036,1.0669,1.1021,1.1297,1.2036
Acre,2020-10-14,,estimate,1.087,1.0844,0.0729,0.9555,1.041,1.0696,1.1038,1.131,1.2006
Acre,2020-10-15,,estimate,1.089,1.0872,0.0695,0.9674,1.0465,1.073,1.1046,1.1327,1.1976
Acre,2020-10-16,,estimate,1.0919,1.0903,0.0663,0.9759,1.0519,1.0759,1.1066,1.1326,1.195
Acre,2020-10-17,,estimate,1.0943,1.0936,0.0634,0.9863,1.056,1.08,1.1093,1.1335,1.1933
Acre,2020-10-18,,estimate,1.0977,1.097,0.0607,0.9966,1.0615,1.0839,1.1121,1.1356,1.1947
Acre,2020-10-19,,estimate,1.1005,1.1006,0.0584,1.004,1.0656,1.0879,1.115,1.1368,1.1952
Acre,2020-10-20,,estimate,1.1044,1.1042,0.0564,1.0138,1.0695,1.0919,1.1175,1.1393,1.1957
Acre,2020-10-21,,estimate,1.1071,1.1079,0.0548,1.0219,1.0734,1.0946,1.1205,1.1414,1.1967
