Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Acre,189 (60 -- 577),Unsure,1 (0.7 -- 1.5),0 (-0.09 -- 0.12),-139.3 (5.8 -- -7.4)
Alagoas,599 (274 -- 1319),Unsure,1.2 (0.9 -- 1.6),0.05 (-0.03 -- 0.15),12.7 (4.5 -- -27.1)
Amapá,367 (192 -- 732),Unsure,1 (0.8 -- 1.3),0.01 (-0.05 -- 0.08),93.7 (8.3 -- -14)
Amazonas,825 (540 -- 1597),Unsure,1 (1 -- 1.3),0.01 (-0.01 -- 0.08),51 (8.2 -- -55.2)
Bahia,4545 (2232 -- 7901),Unsure,1.1 (0.8 -- 1.3),0.02 (-0.05 -- 0.07),31.9 (10.2 -- -14)
Ceará,1710 (785 -- 5079),Unsure,1.1 (0.8 -- 1.5),0.02 (-0.05 -- 0.13),34.1 (5.3 -- -15.2)
Distrito Federal,952 (577 -- 1491),Unsure,1.1 (0.9 -- 1.2),0.01 (-0.03 -- 0.06),47 (12 -- -20.6)
Espirito Santo,2429 (1709 -- 3413),Likely increasing,1.1 (1 -- 1.2),0.02 (-0.01 -- 0.05),34.2 (14 -- -65.7)
Goiás,3966 (1655 -- 17338),Unsure,1.4 (1 -- 2.4),0.1 (0.01 -- 0.32),7.2 (2.1 -- 57.2)
Maranhão,284 (188 -- 441),Unsure,1 (0.9 -- 1.2),0.01 (-0.03 -- 0.05),114.9 (15.3 -- -23.5)
Mato Grosso,908 (471 -- 1828),Unsure,1.1 (0.7 -- 1.4),0.03 (-0.09 -- 0.1),25.4 (6.8 -- -7.3)
Mato Grosso do Sul,1014 (414 -- 2106),Unsure,1 (0.7 -- 1.2),-0.01 (-0.09 -- 0.06),-76.4 (11.7 -- -7.5)
Minas Gerais,4397 (2438 -- 6899),Unsure,1 (0.8 -- 1.2),0.01 (-0.05 -- 0.05),59.6 (13.1 -- -13.8)
Paraná,4226 (1835 -- 9047),Unsure,1 (0.7 -- 1.3),0.01 (-0.07 -- 0.09),132.8 (8 -- -9.6)
Paraíba,812 (416 -- 1552),Unsure,1.1 (0.8 -- 1.2),0.01 (-0.04 -- 0.06),48.9 (10.8 -- -15.8)
Pará,1150 (422 -- 4494),Unsure,1.1 (0.7 -- 1.8),0.02 (-0.1 -- 0.21),30.9 (3.3 -- -7.2)
Pernambuco,1445 (572 -- 2808),Unsure,1 (0.7 -- 1.2),0 (-0.08 -- 0.06),139.9 (11.8 -- -8.8)
Piauí,208 (46 -- 639),Unsure,0.7 (0.3 -- 1),-0.09 (-0.21 -- 0.01),-7.7 (68.7 -- -3.2)
Rio Grande do Norte,581 (82 -- 3579),Unsure,0.9 (0.4 -- 1.8),-0.04 (-0.2 -- 0.2),-18.8 (3.4 -- -3.5)
Rio Grande do Sul,6546 (4111 -- 11770),Likely increasing,1.1 (1 -- 1.3),0.03 (-0.01 -- 0.08),24.1 (8.6 -- -78.3)
Rio de Janeiro,2754 (1370 -- 5996),Unsure,1 (0.8 -- 1.3),0.01 (-0.04 -- 0.07),62.2 (10.3 -- -15.5)
Rondônia,377 (140 -- 756),Unsure,0.9 (0.6 -- 1.2),-0.02 (-0.1 -- 0.05),-44.5 (15.4 -- -6.6)
Roraima,198 (115 -- 303),Unsure,1 (0.8 -- 1.1),0 (-0.05 -- 0.02),-212.7 (31.6 -- -15.3)
Santa Catarina,3957 (1874 -- 7376),Unsure,0.9 (0.7 -- 1.1),-0.02 (-0.09 -- 0.03),-31.6 (20.8 -- -7.8)
Sergipe,853 (205 -- 3098),Unsure,1 (0.5 -- 1.6),0 (-0.14 -- 0.16),-636.2 (4.3 -- -4.9)
São Paulo,8359 (4654 -- 15463),Unsure,1.1 (0.9 -- 1.3),0.02 (-0.03 -- 0.07),43.8 (10 -- -20.2)
Tocantins,283 (113 -- 596),Unsure,1 (0.7 -- 1.2),-0.01 (-0.09 -- 0.06),-62.8 (12 -- -7.4)
